Sample	Chromosome	Start	End	N_Probes	CN
A375_SKIN	1	564621	78958863	22755	3
A375_SKIN	1	78977962	81967962	1040	2
A375_SKIN	1	81971886	82169956	89	3
A375_SKIN	1	82175982	95113417	4069	2
A375_SKIN	1	95114614	145013754	7846	3
A375_SKIN	1	145235261	196014011	15298	4
A375_SKIN	1	196019444	197372437	273	5
A375_SKIN	1	197399270	226494515	10125	4
A375_SKIN	1	226500327	226771752	113	3
A375_SKIN	1	226774009	240388476	5490	4
A375_SKIN	1	240402868	249198692	2877	4
A375_SKIN	2	21833	76146755	27041	3
A375_SKIN	2	76148420	92285930	3475	3
A375_SKIN	2	95341388	154161966	16235	2
A375_SKIN	2	154163166	154284273	45	3
A375_SKIN	2	154305110	168335656	3554	2
A375_SKIN	2	168339866	172569587	1464	1
A375_SKIN	2	172582757	237535731	19068	2
A375_SKIN	2	237545101	237793336	114	1
A375_SKIN	2	237793812	243048760	1592	2
A375_SKIN	3	70895	12217413	6044	3
A375_SKIN	3	12223933	12503639	93	2
A375_SKIN	3	12505160	60479380	14981	3
A375_SKIN	3	60479647	60569815	77	2
A375_SKIN	3	60572073	67165103	3018	3
A375_SKIN	3	67177419	68890638	650	3
A375_SKIN	3	68897115	116811865	11735	3
A375_SKIN	3	116819115	116872248	30	2
A375_SKIN	3	116879279	163056421	13218	3
A375_SKIN	3	163081316	165486145	464	2
A375_SKIN	3	165486970	165755916	60	1
A375_SKIN	3	165763419	197833758	9230	2
A375_SKIN	4	69713	2371930	351	3
A375_SKIN	4	2385312	2755339	91	2
A375_SKIN	4	2760732	10210390	2703	3
A375_SKIN	4	10236142	62391088	15618	3
A375_SKIN	4	62391854	75946899	3485	2
A375_SKIN	4	75949934	88864775	4016	2
A375_SKIN	4	88865776	88975738	57	3
A375_SKIN	4	89001185	91822670	757	2
A375_SKIN	4	91852795	113934034	5638	2
A375_SKIN	4	113940761	115251586	500	2
A375_SKIN	4	115255278	175105239	16057	2
A375_SKIN	4	175112536	175157743	10	0
A375_SKIN	4	175162649	176741497	396	2
A375_SKIN	4	176748078	190921709	5162	3
A375_SKIN	5	51455	12122698	5698	3
A375_SKIN	5	12141381	14009425	548	2
A375_SKIN	5	14014987	20835592	2023	3
A375_SKIN	5	20846352	21025817	41	2
A375_SKIN	5	21047987	29260676	1994	3
A375_SKIN	5	29268243	29352194	20	4
A375_SKIN	5	29365547	79721557	14011	3
A375_SKIN	5	79782632	143410285	18114	3
A375_SKIN	5	143413650	151408044	2833	3
A375_SKIN	5	151412785	151807079	186	4
A375_SKIN	5	151812469	180692833	10040	3
A375_SKIN	6	203845	51148528	18940	2
A375_SKIN	6	51150512	51528984	142	3
A375_SKIN	6	51529394	53176908	583	2
A375_SKIN	6	53177678	53519062	140	3
A375_SKIN	6	53519605	54881047	495	2
A375_SKIN	6	54884148	54981922	18	3
A375_SKIN	6	54995326	57282076	601	2
A375_SKIN	6	57293632	58069872	88	3
A375_SKIN	6	58146087	58484986	35	2
A375_SKIN	6	58509975	63432083	352	3
A375_SKIN	6	63439193	63582251	23	2
A375_SKIN	6	63600148	64673409	189	3
A375_SKIN	6	64677266	65196136	82	3
A375_SKIN	6	65209084	67611927	772	3
A375_SKIN	6	67626861	69451081	545	4
A375_SKIN	6	69461441	83550056	4188	2
A375_SKIN	6	83571520	83622687	26	1
A375_SKIN	6	83631132	161890987	24055	2
A375_SKIN	6	161899280	162028280	85	1
A375_SKIN	6	162038638	170918031	3686	2
A375_SKIN	7	44408	19630059	7152	3
A375_SKIN	7	19643772	26131087	2705	3
A375_SKIN	7	26147219	69601819	12244	3
A375_SKIN	7	69602905	69976338	67	2
A375_SKIN	7	69991272	70419818	188	3
A375_SKIN	7	70428243	87565848	4224	3
A375_SKIN	7	87588131	87775274	41	2
A375_SKIN	7	87785405	110600593	5938	3
A375_SKIN	7	110608137	110926724	63	2
A375_SKIN	7	110942874	119136104	1777	3
A375_SKIN	7	119166254	119512369	52	2
A375_SKIN	7	119532359	143873377	6819	3
A375_SKIN	7	144074929	151912679	2381	3
A375_SKIN	7	151949068	152239072	28	8
A375_SKIN	7	152257960	159119220	2422	3
A375_SKIN	8	164984	16190599	8805	2
A375_SKIN	8	16212084	20524450	2332	2
A375_SKIN	8	20526162	47637786	7242	2
A375_SKIN	8	47674609	118876247	19360	3
A375_SKIN	8	118878922	119007276	43	2
A375_SKIN	8	119016929	136362909	6858	3
A375_SKIN	8	136366215	137545826	475	1
A375_SKIN	8	137547751	146293414	2695	3
A375_SKIN	9	59985	5079156	3147	4
A375_SKIN	9	5087087	21958524	7762	4
A375_SKIN	9	21986218	22103813	44	0
A375_SKIN	9	22118102	28360374	2429	4
A375_SKIN	9	28376898	141071475	27237	3
A375_SKIN	10	135656	48660732	17207	2
A375_SKIN	10	49363009	53095119	1211	2
A375_SKIN	10	53102506	78946702	8606	2
A375_SKIN	10	78948614	135434551	20269	3
A375_SKIN	11	206767	31066467	11431	2
A375_SKIN	11	31079119	65481465	8505	3
A375_SKIN	11	65485120	65653309	39	4
A375_SKIN	11	65670510	107658053	13279	3
A375_SKIN	11	107659024	112488685	1421	2
A375_SKIN	11	112496966	131848720	7654	3
A375_SKIN	11	131848924	131946778	41	4
A375_SKIN	11	131946980	134944770	1315	3
A375_SKIN	12	192220	8346608	2989	3
A375_SKIN	12	8357507	23404163	4909	3
A375_SKIN	12	23423470	23735393	71	4
A375_SKIN	12	23740762	23826008	49	2
A375_SKIN	12	23828139	23866024	18	4
A375_SKIN	12	23873533	23956190	29	2
A375_SKIN	12	23962011	92148075	19216	3
A375_SKIN	12	92159557	133777645	14482	3
A375_SKIN	13	19212262	32684471	5465	3
A375_SKIN	13	32684758	32867667	80	4
A375_SKIN	13	32875763	54494466	7502	3
A375_SKIN	13	54502546	54603479	31	2
A375_SKIN	13	54607901	66922705	3180	3
A375_SKIN	13	66939588	67095885	46	2
A375_SKIN	13	67096440	83639220	5553	3
A375_SKIN	13	83652860	94837798	3345	4
A375_SKIN	13	94841723	94893706	19	2
A375_SKIN	13	94895346	96590060	649	4
A375_SKIN	13	96612685	103909011	2816	3
A375_SKIN	13	103918616	115106996	4787	4
A375_SKIN	14	20224003	34670463	4909	2
A375_SKIN	14	34670876	34899300	115	3
A375_SKIN	14	34916668	61696850	7998	2
A375_SKIN	14	61697252	62198923	266	3
A375_SKIN	14	62200518	107285437	14271	2
A375_SKIN	15	20143409	76739384	16431	3
A375_SKIN	15	76740219	76996501	47	2
A375_SKIN	15	77007159	102400037	9027	3
A375_SKIN	16	91010	6570964	2000	3
A375_SKIN	16	6572049	19944363	5572	3
A375_SKIN	16	19973868	70139542	9838	3
A375_SKIN	16	70286550	76778011	1846	3
A375_SKIN	16	76784687	77013237	103	4
A375_SKIN	16	77014114	89409742	7523	3
A375_SKIN	16	89420230	89520152	22	2
A375_SKIN	16	89538759	90163275	124	3
A375_SKIN	17	6888	81049726	20163	3
A375_SKIN	18	100949	37321974	11292	2
A375_SKIN	18	37326196	37672106	87	3
A375_SKIN	18	37685038	55733510	6149	2
A375_SKIN	18	55750052	55978595	118	3
A375_SKIN	18	55979011	78015057	8378	2
A375_SKIN	19	260970	916737	66	3
A375_SKIN	19	931523	2953087	240	2
A375_SKIN	19	2982834	10403947	1318	3
A375_SKIN	19	10409793	28007033	2584	4
A375_SKIN	19	28069337	59095126	7352	3
A375_SKIN	20	69408	32871550	11634	3
A375_SKIN	20	32879720	62912463	10816	4
A375_SKIN	21	14595264	48084820	12273	2
A375_SKIN	22	16055207	38218637	6956	2
A375_SKIN	22	38242813	38452140	32	3
A375_SKIN	22	38463141	51199978	4173	2
A673_BONE	1	564621	53765419	13885	2
A673_BONE	1	53771202	54940165	402	1
A673_BONE	1	54943026	110220739	17911	2
A673_BONE	1	110253130	144865627	3600	2
A673_BONE	1	144869084	215855883	22099	2
A673_BONE	1	215858193	215862105	12	1
A673_BONE	1	215866009	234699236	6877	2
A673_BONE	1	234703598	244125726	3682	1
A673_BONE	1	244134388	249198692	1535	2
A673_BONE	2	21833	41237103	15185	2
A673_BONE	2	41255542	41399325	47	2
A673_BONE	2	41400776	71342142	10522	2
A673_BONE	2	71365280	81855725	3234	2
A673_BONE	2	81871836	138379023	13379	2
A673_BONE	2	138387147	146862085	2463	2
A673_BONE	2	146877806	229753798	23519	2
A673_BONE	2	229764890	243048760	4263	2
A673_BONE	3	70895	26613201	10994	2
A673_BONE	3	26615949	37520532	3630	2
A673_BONE	3	37520793	65196307	8829	1
A673_BONE	3	65216561	78359243	4634	1
A673_BONE	3	78387430	102990250	4551	2
A673_BONE	3	102992645	197833758	26982	2
A673_BONE	4	71566	12378886	4150	2
A673_BONE	4	12386589	30114273	6277	2
A673_BONE	4	30139712	35415742	1296	2
A673_BONE	4	35425117	49584109	4095	2
A673_BONE	4	52696792	98316372	12945	1
A673_BONE	4	98317295	152603177	13907	2
A673_BONE	4	152603278	156879929	1415	2
A673_BONE	4	156893155	159098784	630	2
A673_BONE	4	159101703	160647109	388	3
A673_BONE	4	160656119	190921709	9741	2
A673_BONE	5	51455	16122588	6912	2
A673_BONE	5	16128234	46383335	8395	2
A673_BONE	5	49560859	77788872	8411	2
A673_BONE	5	77790310	77841392	34	1
A673_BONE	5	77841886	152700033	21971	2
A673_BONE	5	152702949	155471847	983	1
A673_BONE	5	155500992	180692833	8801	1
A673_BONE	6	203845	16087234	7135	2
A673_BONE	6	16088393	26704972	4058	2
A673_BONE	6	26818968	67049406	11059	2
A673_BONE	6	67049599	91798699	7409	2
A673_BONE	6	91801576	103734174	3305	2
A673_BONE	6	103765670	142313213	11443	2
A673_BONE	6	142315327	144434871	722	2
A673_BONE	6	144446518	153943533	3354	2
A673_BONE	6	153967777	170918031	6575	2
A673_BONE	7	44408	38386791	14427	2
A673_BONE	7	38402496	78801612	9655	2
A673_BONE	7	78835058	97373669	5153	2
A673_BONE	7	97404277	102102164	765	2
A673_BONE	7	102402610	126269475	6152	2
A673_BONE	7	126278808	153918878	8109	2
A673_BONE	7	153922854	159116965	1852	2
A673_BONE	8	164984	11934660	6849	2
A673_BONE	8	12291824	13560319	606	2
A673_BONE	8	13566203	64642614	15817	2
A673_BONE	8	64664165	65544125	158	1
A673_BONE	8	65549261	75672527	2973	2
A673_BONE	8	75678475	76715413	286	1
A673_BONE	8	76724602	107852506	8147	2
A673_BONE	8	107870380	118347262	2715	2
A673_BONE	8	118359997	122501989	1488	2
A673_BONE	8	122506305	134170487	4547	3
A673_BONE	8	134174380	144420145	4013	2
A673_BONE	8	144428185	146293414	209	3
A673_BONE	9	59985	9814116	5496	2
A673_BONE	9	9821783	14008652	1799	2
A673_BONE	9	14012182	21909000	3596	1
A673_BONE	9	21926591	22385189	147	0
A673_BONE	9	22390663	27580721	1943	1
A673_BONE	9	27581239	39184065	3733	2
A673_BONE	9	44795319	141071475	23909	2
A673_BONE	10	135656	13049081	6293	2
A673_BONE	10	13053686	35115533	8582	2
A673_BONE	10	35123178	55424759	4550	2
A673_BONE	10	55436702	67306079	4022	2
A673_BONE	10	67325453	135434551	23848	2
A673_BONE	11	206767	22344155	8527	2
A673_BONE	11	22358795	26556395	1597	2
A673_BONE	11	26560419	33508688	1916	5
A673_BONE	11	33513294	33668586	55	4
A673_BONE	11	33670718	48542579	5085	4
A673_BONE	11	48544246	50035553	154	4
A673_BONE	11	50066898	79816181	6231	3
A673_BONE	11	79816973	79841651	14	1
A673_BONE	11	79851134	107227356	9527	3
A673_BONE	11	107257165	134944770	10594	3
A673_BONE	12	192220	9626772	3302	2
A673_BONE	12	9714954	70871858	18167	2
A673_BONE	12	70880928	79319527	2622	2
A673_BONE	12	79323502	99770143	5973	2
A673_BONE	12	99803227	133777645	11707	2
A673_BONE	13	19212262	37623269	7304	2
A673_BONE	13	37637628	39544697	819	3
A673_BONE	13	39554886	94222320	16866	2
A673_BONE	13	94226586	94293676	32	1
A673_BONE	13	94317587	115106996	8459	2
A673_BONE	14	20224003	90933371	22502	2
A673_BONE	14	90941707	107285437	5055	2
A673_BONE	15	20143409	32511555	2673	2
A673_BONE	15	32931904	90917174	18084	2
A673_BONE	15	90927939	102400037	4754	2
A673_BONE	16	91010	12648266	5551	2
A673_BONE	16	12650247	12712450	73	2
A673_BONE	16	12713793	19336308	1764	2
A673_BONE	16	19344758	19356005	12	1
A673_BONE	16	19357586	78503069	13006	2
A673_BONE	16	78503688	78614524	135	1
A673_BONE	16	78617931	90163275	6501	2
A673_BONE	17	6888	28952286	6534	2
A673_BONE	17	29000019	45976565	4042	1
A673_BONE	17	45982473	68063631	5749	2
A673_BONE	17	68067258	68290082	98	3
A673_BONE	17	68295062	81049726	3739	2
A673_BONE	18	100949	78015057	26023	2
A673_BONE	19	260970	59095126	11562	2
A673_BONE	20	69408	12635302	5457	2
A673_BONE	20	12639060	62912463	16987	2
A673_BONE	21	14595264	24423306	3323	2
A673_BONE	21	24433986	48084820	8952	2
A673_BONE	22	16055207	51199978	11162	2
BXPC3_PANCREAS	1	564621	72759524	21002	3
BXPC3_PANCREAS	1	72811904	121291080	14752	3
BXPC3_PANCREAS	1	144549929	213756152	21264	2
BXPC3_PANCREAS	1	213759712	213974734	104	1
BXPC3_PANCREAS	1	213978359	246025193	11979	2
BXPC3_PANCREAS	1	246025516	246045418	18	1
BXPC3_PANCREAS	1	246063859	249198692	803	2
BXPC3_PANCREAS	2	21833	13204666	5428	1
BXPC3_PANCREAS	2	13220169	13450765	54	2
BXPC3_PANCREAS	2	13458652	14771144	464	1
BXPC3_PANCREAS	2	14783141	20223151	2204	2
BXPC3_PANCREAS	2	20227258	20400556	87	1
BXPC3_PANCREAS	2	20409322	78114852	19398	2
BXPC3_PANCREAS	2	78115873	78361627	78	1
BXPC3_PANCREAS	2	78365144	141581332	15559	2
BXPC3_PANCREAS	2	141602380	141952467	125	1
BXPC3_PANCREAS	2	141961680	212896571	19239	2
BXPC3_PANCREAS	2	212902339	213065625	54	1
BXPC3_PANCREAS	2	213070451	213103721	16	0
BXPC3_PANCREAS	2	213106401	213240319	58	1
BXPC3_PANCREAS	2	213240767	225687002	4237	2
BXPC3_PANCREAS	2	225695099	226117813	188	1
BXPC3_PANCREAS	2	226135323	243048760	5343	2
BXPC3_PANCREAS	3	70895	3683525	2037	3
BXPC3_PANCREAS	3	3685016	3796074	71	1
BXPC3_PANCREAS	3	3797187	4695995	468	2
BXPC3_PANCREAS	3	4697203	13765910	4031	2
BXPC3_PANCREAS	3	13786994	14965507	489	1
BXPC3_PANCREAS	3	14973320	46789175	10367	2
BXPC3_PANCREAS	3	46880002	54486807	1184	2
BXPC3_PANCREAS	3	54501086	54595678	31	1
BXPC3_PANCREAS	3	54598301	60137556	2207	2
BXPC3_PANCREAS	3	60139369	60368382	137	1
BXPC3_PANCREAS	3	60370637	60403658	25	2
BXPC3_PANCREAS	3	60405606	60491103	73	1
