HGNC symbol	MGI symbol
RNA5SP488	n-R5s13
	Gm25434
KDM3A	Kdm3a
CLEC9A	Clec9a
	Gm25111
RNA5SP218	n-R5s13
GPRIN3	Gprin3
MT-ND4	mt-Nd4
RHO	Rho
RNA5SP522	n-R5s13
	Gm27699
DRD5	Drd5
	Ids
MT-ND6	mt-Nd6
RARRES2	Rarres2
	Gm27403
SCARNA3	Gm24718
CMTM8	Cmtm8
ACE2	Ace2
MT-CO3	mt-Co3
RNU6-544P	Gm24592
	Gm27520
MT-ATP6	mt-Atp6
MT-ND2	mt-Nd2
RNU6-883P	Gm26011
	Gm22946
ZNF358	Zfp358
RNA5SP351	Gm27959
EPHA5	Epha5
TMEM72	Tmem72
SNORA17	Gm22266
USP14	Usp14
RNA5SP164	Gm24476
MT-CO2	mt-Co2
MT-CO1	mt-Co1
PHF6	Phf6
RNU7-50P	Gm27510
SLCO2A1	Slco2a1
RNA5SP509	n-R5s5
MT-ND5	mt-Nd5
NUP205	Nup205
RNU6-762P	Gm22321
REG3A	Reg3b
	Gm24493
RNA5SP357	n-R5s13
RNA5SP358	n-R5s13
MT-ND4L	mt-Nd4l
KCNK9	Kcnk9
MT-ND1	mt-Nd1
RNA5SP521	n-R5s13
EPT1	Ept1
	Gm25063
GCFC2	Gcfc2
MT-ND3	mt-Nd3
C10orf10	8430408G22Rik
CORO2B	Coro2b
RNU6-377P	Gm24535
	Gm27510
IDS	Ids
RNA5SP248	n-R5s13
RNU6-781P	Gm24522
CCDC178	Ccdc178
CNTN3	Cntn3
REG3G	Reg3b
RNU4-61P	Gm25366
MT-CYB	mt-Cytb
BCL2L13	Bcl2l13
RNU6-1216P	Gm24535
PLP1	Plp1
CLEC1B	Clec1b
OR13A1	Olfr211
HCN1	Hcn1
	Gm23654
SNORA25	Gm24539
KCMF1	Kcmf1
RNU6-99P	Gm22321
SCAMP5	Scamp5
RNA5SP312	Gm27648
ARMC4	Armc4
RNU1-74P	Gm23464
RNU6-1212P	Gm25720
OR4C12	Olfr1259
RN7SKP276	Gm25293
	Gm22206
	Gm23129
CSPG4	Cspg4
	Gm27695
KBTBD7	Kbtbd7
OTULIN	Otulin
HTR1B	Htr1b
RNU6-889P	Gm23977
HMGCS1	Hmgcs1
RNA5SP315	Gm27648
SNORD86	Gm23187
RNU7-50P	Gm24501
RNU7-50P	Gm24390
MYL9	Myl9
RNF8	Rnf8
MIR1302-8	Gm23654
LCE3B	Lce3a
	Gm26494
	Gm27543
GINS4	Gins4
C3orf33	E130311K13Rik
PLCD1	Plcd1
CDNF	Cdnf
RNA5SP320	Gm27648
RNA5SP317	Gm27648
OR4C5	Olfr1260
ATAD2	Atad2
RAG2	Rag2
TMEM167B	Tmem167b
HIST1H2AE	Hist1h2ab
RCAN1	Rcan1
POM121L2	Pom121l2
RNA5SP310	Gm27648
CYP24A1	Cyp24a1
ADGRE1	Adgre1
PRSS33	Prss33
OR6Q1	Olfr1410
	Gm23786
	Gm24501
	Gm24390
	Gm27330
BHLHB9	Bhlhb9
CPB2	Cpb2
RNA5SP311	Gm27648
RNA5SP169	n-R5s202
SCRT2	Scrt2
C1orf68	2310050C09Rik
RPP25	Rpp25
CD3D	Cd3d
ZHX2	Zhx2
PLAT	Plat
EPHB3	Ephb3
RN7SKP299	Gm26350
KRTAP10-10	Gm7137
KRTAP10-8	Gm7137
RNU6-1282P	Gm25696
RNA5SP36	Gm25358
CFAP126	Cfap126
SNORA25	Gm24945
ACOT1	Acot3
RNU1-23P	Gm23405
RNU6-223P	Gm25217
RNU6-619P	Gm24491
PRKCI	Prkci
RNU6-410P	Gm26000
RPL38	Rpl38
RNU6-292P	Gm25217
RNU6-545P	Gm25217
	Gm22973
RNU1-74P	Gm23753
BIVM	Bivm
	Gm23586
	Gm24434
RNU6-403P	Gm23369
KRTAP10-4	Gm7137
RNA5SP77	n-R5s195
PLD3	Pld3
MARK4	Mark4
RNU6-866P	Gm25322
CACNG8	Cacng8
KCNS3	Kcns3
RAB11FIP4	Rab11fip4
ITIH4	Itih4
KRTAP10-6	Gm7137
RNU1-56P	Gm23405
DPP10	Dpp10
KRTAP10-12	Gm7137
HIST2H3D	Hist1h3b
HOMER1	Homer1
RNU6ATAC	Gm25541
HNRNPD	Hnrnpd
RNA5SP197	n-R5s197
KRTAP10-3	Gm7137
C4orf36	1700016H13Rik
KRTAP10-11	Gm7137
PLXNB1	Plxnb1
SLC17A9	Slc17a9
	Gm24523
CA8	Car8
RNU2-16P	Gm22958
KRTAP10-9	Gm7137
RN7SKP31	Gm26069
NCMAP	Ncmap
TBC1D21	Tbc1d21
	Gm25203
RNU1-80P	Gm23405
TM7SF2	Tm7sf2
SLITRK3	Slitrk3
RNU6-39P	Gm24267
SH3GL2	Sh3gl2
ATP1B2	Atp1b2
KRTAP10-7	Gm7137
WDR36	Wdr36
NLK	Nlk
HIST1H4F	Hist1h4b
RNU6-463P	Gm26245
SPTBN2	Sptbn2
RNA5SP229	n-R5s73
MSGN1	Msgn1
ZNF384	Zfp384
VPS35	Vps35
	Gm25542
RNU2-37P	Gm26020
OPTC	Optc
C11orf74	B230118H07Rik
HIST2H3PS2	Hist1h3b
	Gm27715
ZKSCAN5	Zkscan5
ABHD2	Abhd2
FAM107B	Fam107b
ABHD15	Abhd15
KCTD1	Kctd1
ASB17	Asb17
FCRL5	Fcrl5
SLC4A4	Slc4a4
SARDH	Sardh
SH3BP2	Sh3bp2
ENOX1	Enox1
MYT1L	Myt1l
ACOT2	Acot3
RNU6-203P	Gm23103
RNU6-145P	Gm26245
ELAVL1	Elavl1
KRTAP10-1	Gm7137
IGSF1	Igsf1
