,CNV_Proteomics,CNV_Transcriptomics,Transcriptomics_Proteomics
A1BG,-0.0605960421357,0.112528581304,-0.00477205044963
A2M,0.0767996652424,0.0344936094614,0.160516521137
AAAS,0.0728950866201,0.574818275709,0.253179731197
AACS,0.221469062673,0.352264796572,0.533603252744
AAGAB,0.327506114219,0.565188507225,0.603338041188
AAK1,0.116678796289,0.136601599636,0.560034614249
AAMP,0.411999959071,0.556046613792,0.508832849107
AARS,0.260956162333,0.363688254557,0.596446102404
AARS2,0.338544415825,0.547121546191,0.360150235188
AARSD1,0.321340147693,0.510845354807,0.414721849624
AASDHPPT,0.506804509212,0.569071799733,0.497795578783
AASS,0.00421182216251,0.0204846370613,0.633659687453
AATF,0.0767917821381,0.507552470634,0.1789473566
ABAT,0.183487973916,0.262266898018,0.781437218312
ABCA1,0.080344019281,0.184425354508,0.237915556537
ABCB10,0.177741971313,0.395728552491,0.341428431789
ABCB6,0.121698785127,0.184503669184,0.531197518149
ABCB7,0.103790108039,0.13522058165,0.340039284746
ABCB8,0.320676665034,0.570069191501,0.40686721018
ABCC1,0.249130953178,0.39648730696,0.498669114619
ABCC10,0.116138557763,0.513659299192,0.09620965296
ABCC3,-0.0246505577673,0.173111247773,0.344323327609
ABCC4,0.192693956299,0.345310537038,0.653481823614
ABCD1,0.0498917639131,0.132278952368,0.514689809724
ABCD3,0.192537863944,0.403582149748,0.414035708026
ABCE1,0.29818057392,0.418376986389,0.381207124482
ABCF1,0.53727109111,0.643177136205,0.592388528825
ABCF2,0.448318917623,0.709000908122,0.625169842829
ABCF3,0.349116679937,0.529185374305,0.564450588127
ABHD10,0.218604847111,0.389169764593,0.340150207982
ABHD11,0.322288750846,0.374882482484,0.71627539385
ABHD12,0.305134769156,0.528796053113,0.488091902277
ABHD14B,0.222287534164,0.369783855427,0.682825280441
ABHD16A,0.286765016131,0.493307976089,0.478290565554
ABI1,0.184945421845,0.545141337179,0.365742776829
ABI2,0.171155999613,0.50257299545,0.467351590519
ABI3,0.0366181665811,0.0116068740143,0.546419523682
ABI3BP,-0.0144825462661,0.0354636960283,0.448010434584
ABLIM1,0.221547905113,0.340880848002,0.571572004228
ABR,0.123898582293,0.295242920278,0.306636038813
ABT1,0.14185010746,0.667209468717,0.282404811287
ACAA1,0.365650114107,0.460646129399,0.605450969095
ACAA2,0.196194017928,0.404354065615,0.661084714383
ACACA,0.286306676189,0.470131942317,0.566852192867
ACAD10,0.154871164931,0.40302445776,0.480800531952
ACAD8,0.381850008998,0.668977758649,0.53813676027
ACAD9,0.326277273291,0.46432440333,0.490686818836
ACADM,0.332308865544,0.450826651471,0.516876992004
ACADS,0.177560815613,0.311205507059,0.548831052747
ACADSB,0.272387880494,0.277748466241,0.703655870165
ACADVL,0.369079859755,0.474749050816,0.605638995125
ACAP2,0.40921499075,0.51269123613,0.457658702697
