escore,length,pvalue,signature,type
-0.749151373849,13,0.001,MEIOTIC_RECOMBINATION,BP
-0.743816421921,15,0.001,MEIOSIS_I,BP
-0.712326974798,15,0.001,MITOTIC_SISTER_CHROMATID_SEGREGATION,BP
-0.709690416701,16,0.001,HISTONE_ACETYLTRANSFERASE_ACTIVITY,MF
-0.696586102363,16,0.001,SISTER_CHROMATID_SEGREGATION,BP
-0.694955915532,12,0.001,FEMALE_GAMETE_GENERATION,BP
-0.68582859365,12,0.001,ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,BP
-0.682918553964,13,0.001,MACROMOLECULAR_COMPLEX_DISASSEMBLY,BP
-0.67575452543,12,0.001,G1_PHASE_OF_MITOTIC_CELL_CYCLE,BP
-0.669010586554,19,0.001,RNA_EXPORT_FROM_NUCLEUS,BP
-0.662082864941,28,0.001,MEIOTIC_CELL_CYCLE,BP
-0.653264754963,17,0.001,THYROID_HORMONE_RECEPTOR_BINDING,MF
-0.63362664021,17,0.001,SPINDLE_POLE,CC
-0.633555365131,21,0.001,EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,BP
-0.612723871792,21,0.001,MRNA_BINDING,MF
-0.608108209006,20,0.001,STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,BP
-0.599496030179,30,0.001,NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_TRANSPORT,BP
-0.597135562618,24,0.001,ACETYLTRANSFERASE_ACTIVITY,MF
-0.595720325631,24,0.001,RNA_HELICASE_ACTIVITY,MF
-0.595153653815,15,0.001,RRNA_PROCESSING,BP
-0.590233979228,32,0.001,NUCLEAR_EXPORT,BP
-0.582707238377,31,0.001,CONDENSED_CHROMOSOME,CC
-0.579240988088,28,0.001,NUCLEAR_HORMONE_RECEPTOR_BINDING,MF
-0.572713162234,30,0.001,NUCLEAR_PORE,CC
-0.560401508298,29,0.001,TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER,BP
-0.560089809522,51,0.001,HELICASE_ACTIVITY,MF
-0.55877239212,31,0.001,CHROMOSOME_SEGREGATION,BP
-0.554689202924,38,0.001,SPINDLE,CC
-0.551969791516,31,0.001,CHROMATIN_BINDING,MF
-0.543504934289,29,0.001,HORMONE_RECEPTOR_BINDING,MF
-0.54172803949,35,0.001,PORE_COMPLEX,CC
-0.541717736522,40,0.001,NUCLEAR_MEMBRANE_PART,CC
-0.538807174957,27,0.001,ATP_DEPENDENT_HELICASE_ACTIVITY,MF
-0.537984609272,35,0.001,TRANSCRIPTION_INITIATION,BP
-0.530018787336,49,0.001,NUCLEAR_CHROMOSOME,CC
-0.523146858962,48,0.001,PROTEIN_DNA_COMPLEX_ASSEMBLY,BP
-0.514221014349,31,0.001,DNA_PACKAGING,BP
-0.502030065368,32,0.001,CHROMATIN,CC
-0.496716719163,56,0.001,CENTROSOME,CC
-0.490044736659,103,0.001,M_PHASE,BP
-0.489755669044,48,0.001,NUCLEAR_MEMBRANE,CC
-0.476786924595,62,0.001,POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER,BP
-0.476527996281,78,0.001,MITOSIS,BP
-0.474345697336,60,0.001,INTERPHASE_OF_MITOTIC_CELL_CYCLE,BP
-0.474227765896,81,0.001,M_PHASE_OF_MITOTIC_CELL_CYCLE,BP
-0.472207967009,115,0.001,CHROMOSOME,CC
-0.470848832981,53,0.001,DNA_DEPENDENT_DNA_REPLICATION,BP
-0.468958746502,118,0.001,CHROMOSOME_ORGANIZATION_AND_BIOGENESIS,BP
-0.466425483269,84,0.001,MRNA_METABOLIC_PROCESS,BP
-0.464676882158,157,0.001,CELL_CYCLE_PHASE,BP
-0.463604597815,44,0.001,REGULATION_OF_DNA_METABOLIC_PROCESS,BP
-0.45993460736,180,0.001,CELL_CYCLE_PROCESS,BP
-0.45598927132,65,0.001,MICROTUBULE_ORGANIZING_CENTER,CC
-0.455720768861,54,0.001,CHROMATIN_MODIFICATION,BP
-0.453866115372,58,0.001,MAGNESIUM_ION_BINDING,MF
-0.448382531799,47,0.001,TRANSFERASE_ACTIVITY_TRANSFERRING_GROUPS_OTHER_THAN_AMINO_ACYL_GROUPS,MF
-0.446124063792,90,0.001,CHROMOSOMAL_PART,CC
-0.445051403026,147,0.001,MITOTIC_CELL_CYCLE,BP
-0.444215377346,99,0.001,DNA_REPLICATION,BP
-0.437403249551,74,0.001,ESTABLISHMENT_AND_OR_MAINTENANCE_OF_CHROMATIN_ARCHITECTURE,BP
-0.432714422936,57,0.001,TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS,MF
-0.421574572809,66,0.001,INTERPHASE,BP
-0.421205963434,115,0.001,NUCLEOLUS,CC
-0.419915895281,117,0.001,POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,BP
-0.412597019204,115,0.001,POSITIVE_REGULATION_OF_TRANSCRIPTIONDNA_DEPENDENT,BP
-0.411405806396,71,0.001,NUCLEAR_ENVELOPE,CC
-0.409140812738,73,0.001,MRNA_PROCESSING_GO_0006397,BP
-0.409088217386,76,0.001,GAMETE_GENERATION,BP
-0.408800343988,146,0.001,MICROTUBULE_CYTOSKELETON,CC
-0.396085860026,86,0.001,NUCLEOCYTOPLASMIC_TRANSPORT,BP
-0.390771848655,87,0.001,NUCLEAR_TRANSPORT,BP
-0.387384779985,72,0.001,PROTEIN_C_TERMINUS_BINDING,MF
-0.383293147458,169,0.001,RNA_PROCESSING,BP
-0.382472483415,154,0.001,RESPONSE_TO_DNA_DAMAGE_STIMULUS,BP
-0.380785421614,150,0.001,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,BP
-0.379186416337,121,0.001,DNA_REPAIR,BP
-0.37631676715,196,0.001,PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,MF
-0.374103511839,140,0.001,POSITIVE_REGULATION_OF_TRANSCRIPTION,BP
-0.368687947424,550,0.001,NUCLEAR_PART,CC
-0.368599614532,297,0.001,CELL_CYCLE_GO_0007049,BP
-0.367227907461,169,0.001,RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_ACTIVITY,MF
-0.365426440243,229,0.001,CYTOSKELETAL_PART,CC
-0.361560729558,365,0.001,NUCLEAR_LUMEN,CC
-0.357259256685,248,0.001,DNA_METABOLIC_PROCESS,BP
-0.353218652676,267,0.001,NUCLEOPLASM,CC
-0.342197471393,189,0.001,RESPONSE_TO_ENDOGENOUS_STIMULUS,BP
-0.34110079611,158,0.001,ADENYL_RIBONUCLEOTIDE_BINDING,MF
-0.338204535772,1356,0.001,NUCLEUS,CC
-0.33204283955,164,0.001,ADENYL_NUCLEOTIDE_BINDING,MF
-0.32947731037,269,0.001,REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER,BP
-0.327471525109,203,0.001,NUCLEOPLASM_PART,CC
-0.326878777142,796,0.001,RNA_METABOLIC_PROCESS,BP
-0.324526387492,432,0.001,MEMBRANE_ENCLOSED_LUMEN,CC
-0.324526387492,432,0.001,ORGANELLE_LUMEN,CC
-0.320231888104,594,0.001,INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE,CC
-0.320231888104,594,0.001,NON_MEMBRANE_BOUND_ORGANELLE,CC
-0.318764280299,443,0.001,REGULATION_OF_RNA_METABOLIC_PROCESS,BP
-0.318234004791,587,0.001,REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,BP
-0.313238988269,350,0.001,CYTOSKELETON,CC
-0.310676517791,433,0.001,REGULATION_OF_TRANSCRIPTIONDNA_DEPENDENT,BP
