escore,length,pvalue,signature,type
-0.871448878,12,0.001,INTEGRATOR_COMPLEX,CC
-0.86048652,14,0.001,MEDIATOR_COMPLEX,CC
-0.859360229,9,0.001,RNA_POLYMERASE_II_TRANSCRIPTION_MEDIATOR_ACTIVITY,MF
-0.831589129,11,0.001,ORGANELLAR_SMALL_RIBOSOMAL_SUBUNIT,CC
-0.831589129,11,0.001,MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT,CC
-0.831589129,11,0.001,SMALL_RIBOSOMAL_SUBUNIT,CC
-0.804732763,20,0.001,ORGANELLAR_RIBOSOME,CC
-0.804732763,20,0.001,MITOCHONDRIAL_RIBOSOME,CC
-0.786185822,18,0.001,RIBOSOMAL_SUBUNIT,CC
-0.785213477,9,0.001,TRANSCRIPTION_FACTOR_TFIID_COMPLEX,CC
-0.783029803,8,0.001,RNA_ELONGATION,BP
-0.768923063,15,0.001,RRNA_PROCESSING,BP
-0.768923063,15,0.001,RRNA_METABOLIC_PROCESS,BP
-0.76484803,20,0.001,SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX,CC
-0.746280098,9,0.001,EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX,CC
-0.734755523,34,0.001,RIBOSOME,CC
-0.732785473,11,0.001,ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,BP
-0.730858723,53,0.001,DNA_DIRECTED_RNA_POLYMERASEII_HOLOENZYME,CC
-0.724505344,18,0.001,NUCLEOLAR_PART,CC
-0.704077941,22,0.001,GENERAL_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_ACTIVITY,MF
-0.697385557,15,0.001,INTRACELLULAR_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,BP
-0.697385557,15,0.001,STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,BP
-0.697288312,23,0.001,TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER,BP
-0.669567522,18,0.001,RIBOSOME_BIOGENESIS_AND_ASSEMBLY,BP
