pathway,logoddratios,pvalue,fdr,name
5099,0.793585571888,3.27963549713e-11,1.37580709105e-08,RB1(hypophosphorylated)-E2F4 complex
3853,0.793585571888,3.27963549713e-11,1.37580709105e-08,Rb-HDAC1 complex
3269,0.69058950787,6.32699090629e-11,1.76944845679e-08,RB1-HDAC1-BRG1 complex
5663,0.770104476038,2.98698911819e-10,5.01216774033e-08,TRIM27-RB1 complex
621,0.612432137576,2.85435985444e-10,5.01216774033e-08,AKAP250-PKA-PDE4D complex
1372,0.745280892313,2.52246977286e-09,3.52725356572e-07,Rb-tal-1-E2A-Lmo2-Ldb1 complex
723,0.626920428001,2.12883081971e-08,2.55155579677e-06,MAF1 complex
1380,0.533250891528,3.08084752007e-07,2.87203452149e-05,Elongator holo complex
2859,0.533250891528,3.08084752007e-07,2.87203452149e-05,ING5 complex
2363,0.487493400967,6.70920381575e-06,0.000562902200141,ITGAV-ITGB3-PXN-PTK2b complex
5211,0.444940590346,8.04478758249e-06,0.000613597889246,RAF1-PPP2-PIN1 complex
1154,0.328273640403,1.55476020835e-05,0.00108703651234,DSS1 complex
220,0.494294862726,7.79595114133e-05,0.0050313869289,ARF-Mule complex
886,0.399183099785,0.000111009919948,0.00665266591687,MTA1 complex
5388,0.556224656093,0.000153853865335,0.00806771206348,SERPINA1-ELA2 complex
152,0.556224656093,0.000153853865335,0.00806771206348,TFIIE complex
2685,0.252657846965,0.000176846256695,0.00872788290394,RNA polymerase II (RNAPII)
1153,0.262633716721,0.000288240745814,0.0134352214299,Integrator complex
2577,0.462110179355,0.000312929250381,0.0138182968984,Sam68-p85 P13K-IRS-1-IR signaling complex
3749,0.514831970935,0.000687211740816,0.0262077568429,CREBBP-SMAD2 hexameric complex
5543:5551:5550,0.514831970935,0.000687211740816,0.0262077568429,CCNB1-CDC2 complex
2704,0.514831970935,0.000687211740816,0.0262077568429,Ectodermin-SMAD4 complex
5280,0.427348073096,0.00114461569493,0.041753589915,RAB9-TIP47-MPRI complex
41,0.378348931542,0.00126991211851,0.044394011143,Mi-2/NuRD-MTA2 complex
587,0.292696375378,0.00172261997017,0.0578111261988,NuRD.1 complex
1155,0.208454184473,0.00251865751155,0.0741810556308,Integrator-RNAPII complex
3098,0.469074480374,0.00274089716872,0.0741810556308,TIM50a-SMN1 complex
4,0.469074480374,0.00274089716872,0.0741810556308,Multisubunit ACTR coactivator complex
3066,0.242843445079,0.00247833434662,0.0741810556308,"RNA polymerase II complex, chromatin structure modifying"
2574,0.469074480374,0.00274089716872,0.0741810556308,CD19-Vav-PI 3-kinase (p85 subunit) complex
5772,0.469074480374,0.00274089716872,0.0741810556308,ZO1-(beta)cadherin-(VE)cadherin-VEGFR2 complex
3753,0.389559512206,0.00379687297933,0.0801665826547,CREBBP-SMAD2-SMAD4 pentameric complex
243,0.389559512206,0.00379687297933,0.0801665826547,RalBP1-CDC2-CCNB1 complex
3284,0.320001853738,0.00324839708833,0.0801665826547,"SMN complex (GEMIN5,2,3,4, SMN)"
3754,0.389559512206,0.00379687297933,0.0801665826547,CREBBP-SMAD3-SMAD4 pentameric complex
585,0.346164248171,0.00382200632442,0.0801665826547,Mi2/NuRD-BCL6-MTA3 complex
59,0.320001853738,0.00324839708833,0.0801665826547,AP3 adapter complex
2398,0.389559512206,0.00379687297933,0.0801665826547,ITGA3-ITGB1-BSG complex
3298,0.389559512206,0.00379687297933,0.0801665826547,"SMN complex (GEMIN2,5, SMN)"
5196,0.226809482424,0.00326745048861,0.0801665826547,"TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)"
685,0.241989592333,0.00420477154794,0.0839953173505,MeCP1 complex
2829,0.241989592333,0.00420477154794,0.0839953173505,RSmad complex
61,0.269215279529,0.00438156170706,0.0854914016797,Mi2/NuRD complex
2638,0.277091926091,0.00633532207183,0.118118560406,HES1 promoter corepressor complex
2884,0.277091926091,0.00633532207183,0.118118560406,"Respiratory chain complex I (early intermediate NDUFAF1 assembly), mitochondrial"
3038:3739,0.417921957927,0.00968251146529,0.135393785323,SMAD2-SMAD4-FAST1 complex
2912,0.417921957927,0.00968251146529,0.135393785323,PLC-gamma-2-SLP-76 complex
764,0.417921957927,0.00968251146529,0.135393785323,Dysferlin-affixin complex
4025,0.417921957927,0.00968251146529,0.135393785323,Affixin-actinin(alpha) complex
153,0.417921957927,0.00968251146529,0.135393785323,TFIIF complex (transcription factor IIF)
2762:2761:3740:2692:2708,0.417921957927,0.00968251146529,0.135393785323,SMAD3-SMAD4-FOXO4 complex
646,0.220800293263,0.00949149463699,0.135393785323,HDAC1-associated protein complex
3206,0.417921957927,0.00968251146529,0.135393785323,SMAD4-SKI-NCOR complex
5770,0.417921957927,0.00968251146529,0.135393785323,RUNX1-CBF-beta-DNA complex
3750,0.417921957927,0.00968251146529,0.135393785323,CREBBP-SMAD3 hexameric complex
2744,0.417921957927,0.00968251146529,0.135393785323,TRAF2-MALT1 complex
2786,0.417921957927,0.00968251146529,0.135393785323,BRCA1 A complex
5499,0.417921957927,0.00968251146529,0.135393785323,PARVB-ARHGEF6 complex
2053:2752,0.417921957927,0.00968251146529,0.135393785323,BCL10-MALT1 complex
3204,0.417921957927,0.00968251146529,0.135393785323,SMAD2-SKI-NCOR complex
142,0.348166827048,0.0113616085304,0.142274471,"CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)"
5546:5544:5545:310,0.348166827048,0.0113616085304,0.142274471,CDC2-PCNA-CCNB1-GADD45G complex
1734,0.348166827048,0.0113616085304,0.142274471,SF3A1-SF3A2-SF3A3 complex
2830,0.348166827048,0.0113616085304,0.142274471,TIF1gamma-SMAD2-SMAD3 complex
557,0.348166827048,0.0113616085304,0.142274471,TRP1-G alpha-11-IP3R3-CAV1 signaling complex
2760:2707,0.348166827048,0.0113616085304,0.142274471,SMAD3-SMAD4-FOXO3 complex
571,0.348166827048,0.0113616085304,0.142274471,p300-CBP-p270 complex
2825,0.143715937441,0.0123517283522,0.152398530699,BRCA1-RNA polymerase II complex
103,0.146199716221,0.0128793411895,0.156605322579,RNA polymerase II holoenzyme complex
650,0.218844671019,0.0150627151381,0.180537400013,HDAC2-asscociated core complex
888,0.198523898552,0.0200558530228,0.236998037833,MTA2 complex
280,0.257853946989,0.0205834834727,0.2398547588,HMGB1-HMGB2-HSC70-ERP60-GAPDH complex
649,0.182145604725,0.0250259524543,0.287627042591,HDAC1-associated core complex cII
3033,0.359930010949,0.0300138523536,0.297464133496,PAC3-PAC4 complex
5872,0.273613581022,0.0262685843817,0.297464133496,BRAF-MAP2K1-MAP2K2-YWHAE complex
2537,0.359930010949,0.0300138523536,0.297464133496,"PKC-alpha-PLD1-PLC-gamma-2 signaling complex, lacritin stimulated"
2706,0.302409336487,0.0304909600484,0.297464133496,SMAD3-SMAD4-SP1 complex
1474,0.302409336487,0.0304909600484,0.297464133496,SMAD3/4-E2F4/5-p107-DP1 complex
2958,0.359930010949,0.0300138523536,0.297464133496,SMAD1-CBP complex
5573,0.359930010949,0.0300138523536,0.297464133496,Stat1-alpha-dimer-CBP DNA-protein complex
