protein,type,pval,fdr
IFT122,2.0,0.000315890156074,0.0746177675811
PIK3R4,2.0,0.000240679372001,0.0746177675811
STAG1,2.0,0.000233892772336,0.0746177675811
ARMC8,2.0,0.00027958878992,0.0746177675811
H1FX,2.0,0.000315890156074,0.0746177675811
PCCB,2.0,5.10877113865e-05,0.0746177675811
RPRD1B,2.0,0.000161016785447,0.0746177675811
INPP5B,2.0,0.000107957914615,0.0746177675811
COL6A6,2.0,0.000240679372001,0.0746177675811
PLXND1,2.0,0.000315890156074,0.0746177675811
TTI1,2.0,0.000161016785447,0.0746177675811
TMCC1,2.0,0.000268726637926,0.0746177675811
GNL2,2.0,7.72932953475e-05,0.0746177675811
NCK1,2.0,0.000161565350979,0.0746177675811
WDSUB1,2.0,0.000393451767023,0.0867429995697
SF3A3,2.0,0.000569312226242,0.0896531205802
C1orf122,2.0,0.000556394733448,0.0896531205802
UTP11L,2.0,0.000569312226242,0.0896531205802
SNIP1,2.0,0.000569312226242,0.0896531205802
FHL3,2.0,0.000569312226242,0.0896531205802
MEAF6,2.0,0.000569312226242,0.0896531205802
ERMP1,-2.0,0.00110854420902,0.101727312849
ELP2,2.0,0.00116892588094,0.101727312849
UHRF2,-2.0,0.00110854420902,0.101727312849
SMARCA2,-2.0,0.00110854420902,0.101727312849
FAIM,2.0,0.000798779117536,0.101727312849
AK3,-2.0,0.00110854420902,0.101727312849
RCL1,-2.0,0.00110854420902,0.101727312849
SLC39A6,2.0,0.00116892588094,0.101727312849
RANBP6,-2.0,0.00110854420902,0.101727312849
CDC37L1,-2.0,0.00110854420902,0.101727312849
RPRD1A,2.0,0.00116892588094,0.101727312849
COPB2,2.0,0.000990802331113,0.101727312849
PPP2R3A,2.0,0.000744278829451,0.101727312849
GLDC,-2.0,0.00110854420902,0.101727312849
GALNT1,2.0,0.00116892588094,0.101727312849
NMNAT3,2.0,0.00105434721954,0.101727312849
RBP1,2.0,0.000990802331113,0.101727312849
COPG1,2.0,0.00190849703899,0.133394680133
TOPBP1,2.0,0.00193617920968,0.133394680133
RPN1,2.0,0.00170676250871,0.133394680133
RAB43,2.0,0.00190849703899,0.133394680133
LY75,2.0,0.00157526670368,0.133394680133
DBR1,2.0,0.0016678160454,0.133394680133
SRPRB,2.0,0.00193617920968,0.133394680133
CNBP,2.0,0.00190849703899,0.133394680133
TF,2.0,0.00193617920968,0.133394680133
EEFSEC,2.0,0.00170676250871,0.133394680133
ZNF148,2.0,0.00240774801488,0.162498422147
TANC1,2.0,0.00268771168068,0.17776525056
AKR1A1,2.0,0.00293731312127,0.183277254567
TOE1,2.0,0.00293731312127,0.183277254567
PRDX1,2.0,0.00293731312127,0.183277254567
LBP,2.0,0.00306708486578,0.184415448203
ATP2C1,2.0,0.00304157850542,0.184415448203
RFX3,-2.0,0.00325743314093,0.185729851674
PIK3CB,2.0,0.0032087484777,0.185729851674
MRPS22,2.0,0.0032087484777,0.185729851674
PLA2G2A,2.0,0.0043759612963,0.22263544626
TMCO4,2.0,0.0043759612963,0.22263544626
UROD,2.0,0.00432656791021,0.22263544626
KIF2C,2.0,0.00432656791021,0.22263544626
RPS8,2.0,0.00432656791021,0.22263544626
EIF2B3,2.0,0.00432656791021,0.22263544626
HECTD3,2.0,0.00432656791021,0.22263544626
OSBPL11,2.0,0.00468585173808,0.234789571179
DMD,-2.0,0.00494848126431,0.244248172255
ATG3,2.0,0.00509981890923,0.24801619313
MYCBP,2.0,0.00609263914937,0.28377968545
RRAGC,2.0,0.00609263914937,0.28377968545
ATPAF1,2.0,0.00597564554281,0.28377968545
PDE4D,-2.0,0.00678281987456,0.311538685072
ITGB1,2.0,0.00783258874426,0.322819230745
ERI3,2.0,0.00778949474073,0.322819230745
PDIA5,2.0,0.00774548667581,0.322819230745
EPB41L1,2.0,0.00790697238898,0.322819230745
DMAP1,2.0,0.00778949474073,0.322819230745
IPO13,2.0,0.00778949474073,0.322819230745
NASP,2.0,0.00770544680364,0.322819230745
CCDC80,2.0,0.00789540955499,0.322819230745
DPH2,2.0,0.00778949474073,0.322819230745
CMPK1,2.0,0.00830500000577,0.334934573403
FAAH,2.0,0.00851608241087,0.338642579923
MKNK1,2.0,0.00860174681388,0.338642579923
SEC61A1,2.0,0.00984474028897,0.365804001524
MCM2,2.0,0.00984474028897,0.365804001524
RUVBL1,2.0,0.00984474028897,0.365804001524
ACAD9,2.0,0.00971049579585,0.365804001524
RAB7A,2.0,0.00971049579585,0.365804001524
MTX2,2.0,0.0100105235669,0.367831127062
CDV3,2.0,0.0103225018887,0.371336884495
TANK,2.0,0.0103305090334,0.371336884495
KDM4A,2.0,0.0106652409717,0.379246794552
