Domain,assoc_id,PLOTS,In Figure 4D,FEATURE,Drug id,Drug name,Drug Target,N_FEATURE_pos,N_FEATURE_neg,log max.Conc.tested,log max.Conc.tested2,FEATUREpos_logIC50_MEAN,FEATUREneg_logIC50_MEAN,FEATURE_deltaMEAN_IC50,FEATUREpos_IC50_sd,FEATUREneg_IC50_sd,FEATURE_IC50_effect_size,FEATUREpos_Glass_delta,FEATUREneg_Glass_delta,FEATURE_ANOVA_pval,Tissue_ANOVA_pval,MEDIA_ANOVA_pval,MSI_ANOVA_pval,FEATURE_FDR
PANCAN,a3,WebPage,NO,BCR-ABL_fusion,1013,Nilotinib,ABL,6,794,0.6931,NA,-5.3229,2.7103,-8.0332,0.5722,1.1719,6.8715,14.04,6.86,2.2645E-42,3.5122E-47,7.0197E-01,1.6106E-01,0.0000
BRCA,a2,WebPage,YES,"gain:cnaPANCAN302 (CLTC,PPM1D)",119,Lapatinib,"ERBB2, EGFR",3,10,0.6931,NA,-2.2037,2.5360,-4.7397,1.0232,0.7776,5.7262,4.63,6.09,2.9214E-06,NA,NA,NA,1.6913
PANCAN,a9,WebPage,NO,BCR-ABL_fusion,261,TL-1-85,MAP3K7 (TAK1),5,914,2.3263,NA,-3.9956,3.2137,-7.2093,1.0011,1.5614,4.6232,7.20,4.62,1.4431E-14,1.4642E-78,6.4027E-04,5.6393E-01,0.0000
PANCAN,a7,WebPage,NO,BCR-ABL_fusion,34,Imatinib,"ABL, KIT, PDGFR",5,403,0.6931,NA,-1.3096,2.7885,-4.0981,2.1716,0.9486,4.2325,1.89,4.32,1.1190E-14,1.8962E-11,7.4525E-01,5.3182E-01,0.0000
PANCAN,a11,WebPage,NO,BCR-ABL_fusion,260,NG-25,MAP3K7 (TAK1),5,914,2.3263,NA,-4.2190,2.6714,-6.8903,0.5329,1.6388,4.2128,12.93,4.20,8.5247E-12,5.6780E-63,7.2671E-05,9.0839E-01,0.0000
OV,a1,WebPage,YES,loss:cnaPANCAN361 (),1012,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",3,28,2.3026,NA,4.8093,1.0447,3.7645,1.0058,0.9238,4.0491,3.74,4.07,5.3837E-07,NA,NA,2.6752E-01,0.5108
PANCAN,a8,WebPage,NO,BCR-ABL_fusion,52,GNF-2,ABL [T315I],5,393,0.2469,NA,-0.7608,2.3992,-3.1600,1.8761,0.7614,4.0478,1.68,4.15,1.2380E-14,6.4324E-06,3.2317E-01,8.7051E-01,0.0000
PANCAN,a24,WebPage,NO,BCR-ABL_fusion,295,NVP-BHG712,EPHB4,5,914,2.3263,NA,-3.3226,3.0263,-6.3489,0.4816,1.5997,3.9767,13.18,3.97,7.4873E-10,3.8173E-67,5.1950E-04,4.7129E-01,0.0005
LGG,a3,WebPage,YES,loss:cnaPANCAN281 (RPL22),194,AUY922,HSP90,3,13,-1.3626,NA,-1.2831,-3.8403,2.5572,1.0934,0.5517,3.8923,2.34,4.64,2.8532E-05,NA,NA,NA,1.0331
LGG,a2,WebPage,NO,RB1_mut,1054,PD-0332991,"CDK4, CDK6",5,9,1.3863,0.6931,3.8311,1.0598,2.7713,0.2914,0.8614,3.8320,9.51,3.22,1.7223E-05,NA,NA,NA,0.9354
COAD/READ,a1,WebPage,YES,CLSPN_mut,272,AR-42,HDAC,3,42,1.6332,NA,3.3342,-0.4801,3.8142,2.4687,0.8946,3.7285,1.55,4.26,9.2934E-08,NA,NA,3.9977E-02,0.1123
BRCA,a16,WebPage,YES,"loss:cnaPANCAN385 (PABPC3,SACS,ZMYM2)",53,CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9",3,9,-1.3626,NA,0.4415,-2.4141,2.8557,1.2001,0.6212,3.6967,2.38,4.60,2.4578E-04,NA,NA,NA,17.7870
LUSC,a1,WebPage,YES,"loss:cnaPANCAN144 (BNC2,CDKN2A,JAK2,PSIP1)",226,GSK1070916,AURKB,10,3,0.9400,2.3263,2.5381,-0.3769,2.9149,0.5851,1.3857,3.6748,4.98,2.10,1.6459E-04,NA,NA,NA,19.8619
LGG,a1,WebPage,YES,gain:cnaPANCAN124 (EGFR),1248,FK866,NAMPT,5,12,0.0000,NA,-4.9087,0.5106,-5.4193,1.9809,1.2883,3.6021,2.74,4.21,6.3359E-06,NA,NA,NA,0.6882
LGG,a5,WebPage,YES,loss:cnaPANCAN281 (RPL22),200,LAQ824,HDAC,3,13,0.0237,NA,-0.7648,-2.5004,1.7355,0.3826,0.5026,3.5615,4.54,3.45,7.0236E-05,NA,NA,NA,1.5258
BRCA,a19,WebPage,YES,"loss:cnaPANCAN385 (PABPC3,SACS,ZMYM2)",41,S-Trityl-L-cysteine,KIF11,3,9,1.6332,NA,3.5260,0.4569,3.0691,0.7601,0.8897,3.5467,4.04,3.45,3.3771E-04,NA,NA,NA,19.2983
LGG,a4,WebPage,YES,loss:cnaPANCAN281 (RPL22),203,BMS-345541,IKBKB,3,14,2.7726,NA,4.9497,3.0413,1.9084,0.5939,0.5290,3.5464,3.21,3.61,5.3141E-05,NA,NA,NA,1.4431
PANCAN,a36,WebPage,NO,BCR-ABL_fusion,155,AP-24534,ABL,5,876,-0.6694,NA,-5.1305,0.4371,-5.5676,2.8581,1.5717,3.5240,1.95,3.54,4.7315E-08,7.1697E-38,3.9714E-01,9.0490E-01,0.0211
STAD,a1,WebPage,YES,BCOR_mut,229,LY317615,PRKCB (PKCbeta),3,18,2.9957,2.3263,0.7955,4.4318,-3.6364,0.8106,1.0614,3.5036,4.49,3.43,2.0373E-05,NA,NA,NA,8.9152
COAD/READ,a3,WebPage,YES,GNAS_mut,193,GW-2580,CSF1R (cFMS),3,43,2.9957,NA,3.7824,5.6297,-1.8473,1.0776,0.4982,3.4323,1.71,3.71,1.9286E-06,NA,NA,3.0974E-03,1.1942
PANCAN,a48,WebPage,NO,BCR-ABL_fusion,292,Masitinib,KIT,5,915,2.9957,NA,-0.6959,3.6214,-4.3172,1.6402,1.2681,3.3994,2.63,3.40,1.9252E-07,8.3154E-51,5.1191E-09,2.2458E-01,0.0662
LUAD,a1,WebPage,NO,EGFR_mut,1032,Afatinib,"ERBB2, EGFR",4,48,-0.6931,NA,-4.2951,0.6924,-4.9875,2.5971,1.3689,3.3887,1.92,3.64,3.4870E-08,NA,NA,NA,0.0301
OV,a2,WebPage,YES,loss:cnaPANCAN361 (),1149,TW 37,"BCL2, BCL2L1",3,30,1.6094,NA,1.2777,-0.9422,2.2199,0.2306,0.6780,3.3718,9.63,3.27,4.7179E-06,NA,NA,5.2424E-03,2.1297
PANCAN,a19,WebPage,NO,BCR-ABL_fusion,1021,Axitinib,"PDGFR, KIT, VEGFR",6,838,0.6931,NA,-2.1709,1.9908,-4.1617,0.3858,1.2438,3.3550,10.79,3.35,3.3694E-10,4.5728E-22,7.7777E-01,9.7158E-01,0.0003
BRCA,a12,WebPage,NO,"gain:cnaPANCAN301 (CDK12,ERBB2,MED24)",119,Lapatinib,"ERBB2, EGFR",4,9,0.6931,NA,-1.3059,2.6636,-3.9695,1.9805,0.7051,3.3180,2.00,5.63,1.8030E-04,NA,NA,NA,16.0829
BLCA,a1,WebPage,YES,"loss:cnaPANCAN117 (CHD9,CNOT1,CYLD,MMP2,NUP93)",1230,IOX2,EGLN1,3,16,-2.3026,NA,-1.3668,0.0769,-1.4437,1.0282,0.2766,3.2958,1.40,5.22,6.6736E-05,NA,NA,NA,10.6609
THCA,a1,WebPage,NO,BRAF_mut,1373,Dabrafenib,BRAF,7,9,2.3026,NA,-1.9701,2.9477,-4.9178,1.9769,1.0239,3.2612,2.49,4.80,1.4699E-05,NA,NA,NA,0.9749
PANCAN,a87,WebPage,NO,BCR-ABL_fusion,312,AV-951,VEGFR,5,914,-2.0557,NA,-2.1496,0.2961,-2.4457,1.1647,0.7630,3.1962,2.10,3.21,6.2283E-06,4.0293E-52,2.0422E-02,9.6386E-01,1.1820
KIRC,a1,WebPage,YES,loss:cnaPANCAN203 (),1050,ZM-447439,AURKB,4,15,1.3863,0.6931,4.4499,2.2814,2.1685,0.8357,0.6451,3.1767,2.59,3.36,2.9097E-05,NA,NA,NA,10.2646
LUSC,a2,WebPage,YES,"loss:cnaPANCAN144 (BNC2,CDKN2A,JAK2,PSIP1)",179,5-Fluorouracil,DNA antimetabolite,10,4,3.4657,NA,4.4943,1.8082,2.6861,0.9412,0.4761,3.1633,2.85,5.64,1.7445E-04,NA,NA,NA,19.8619
COAD/READ,a4,WebPage,YES,CNOT1_mut,272,AR-42,HDAC,3,42,1.6332,NA,3.0100,-0.4569,3.4669,3.0302,0.9069,3.1501,1.14,3.82,2.8539E-06,NA,NA,5.6912E-02,1.2863
COAD/READ,a14,WebPage,YES,ATRX_mut,277,ABT-869,VEGFR and PDGFR family,3,43,0.0237,NA,0.5139,2.6631,-2.1492,1.7326,0.5914,3.1339,1.24,3.63,4.8513E-05,NA,NA,6.0131E-03,6.4368
PANCAN,a17,WebPage,NO,CDKN1B_mut,1009,ATRA,Retinoic acid and retinoid X receptor agonist,5,832,2.3026,NA,0.0304,3.9244,-3.8940,2.7565,1.2660,3.0486,1.41,3.08,2.8958E-10,3.3464E-32,6.2933E-02,2.0300E-01,0.0003
LUSC,a3,WebPage,YES,"loss:cnaPANCAN144 (BNC2,CDKN2A,JAK2,PSIP1)",303,PIK-93,"PI4K, PI3K",10,4,2.9957,NA,4.0477,1.7481,2.2996,0.6423,1.0320,3.0309,3.58,2.23,2.5195E-04,NA,NA,NA,19.8619
LUSC,a7,WebPage,YES,MLL2_mut,150,Bicalutamide,ANDR (androgen receptor),3,11,0.0237,NA,2.4240,2.8531,-0.4291,0.0227,0.1563,3.0017,18.87,2.75,6.0195E-04,NA,NA,NA,19.8619
LGG,a12,WebPage,NO,RB1_mut,89,Parthenolide,NFKB1,5,6,1.6094,NA,1.7984,4.3758,-2.5774,1.1647,0.4952,2.9978,2.21,5.20,7.9056E-04,NA,NA,NA,7.1560
GBM,a1,WebPage,YES,"loss:cnaPANCAN230 (SYNCRIP,ZNF292)",204,Tipifarnib,Farnesyl-transferase (FNTA),3,27,2.7726,NA,5.3553,1.8251,3.5302,0.7480,1.2109,2.9819,4.72,2.92,3.6481E-05,NA,NA,NA,15.5647
COAD/READ,a6,WebPage,YES,CLSPN_mut,274,"PXD101, Belinostat",HDAC,3,41,2.9957,NA,2.9971,-0.0476,3.0446,2.8189,0.8366,2.9784,1.08,3.64,4.1549E-06,NA,NA,1.1343E-02,1.2863
PANCAN,a290,WebPage,NO,BCR-ABL_fusion,211,TL-2-105,CRAF,5,919,2.3263,1.6332,-0.0316,3.8582,-3.8898,1.6105,1.3063,2.9744,2.42,2.98,2.1742E-04,1.0787E-68,1.9032E-06,7.3451E-01,12.3188
COAD/READ,a7,WebPage,YES,CDK12_mut,272,AR-42,HDAC,3,42,1.6332,NA,2.8850,-0.4480,3.3330,3.2467,0.9046,2.9569,1.03,3.68,8.7294E-06,NA,NA,6.3237E-02,2.3165
LUSC,a8,WebPage,YES,gain:cnaPANCAN246 (SOX2),158,PF-562271,FAK,3,11,0.9400,NA,3.7749,1.9899,1.7850,0.8898,0.5311,2.9466,2.01,3.36,6.9702E-04,NA,NA,NA,19.8619
LUSC,a4,WebPage,YES,"loss:cnaPANCAN144 (BNC2,CDKN2A,JAK2,PSIP1)",265,Tubastatin A,HDAC6,10,4,2.9957,NA,5.1795,3.5731,1.6065,0.5610,0.5311,2.9015,2.86,3.02,3.6321E-04,NA,NA,NA,19.8619
LAML,a1,WebPage,NO,TP53_mut,1047,Nutlin-3a,MDM2,12,11,2.0794,1.3863,3.6414,1.7152,1.9261,0.6056,0.7394,2.8635,3.18,2.61,1.6219E-06,NA,NA,9.8401E-01,0.1979
BLCA,a2,WebPage,NO,TP53_mut,136,Mitomycin C,DNA crosslinker,15,4,2.7726,NA,-1.8361,1.1059,-2.9420,1.0913,0.7238,2.8399,2.70,4.06,9.9406E-05,NA,NA,NA,10.6609
LUAD,a2,WebPage,NO,EGFR_mut,1010,Gefitinib,EGFR,5,48,-0.6931,NA,-1.9902,1.1865,-3.1767,2.4769,0.9227,2.8237,1.28,3.44,1.9874E-07,NA,NA,NA,0.0856
BLCA,a4,WebPage,YES,ARID1A_mut,1529,MLN4924,NEDD8-activating enzyme,3,13,0.0000,NA,2.2113,-0.7960,3.0073,0.6892,1.1245,2.8023,4.36,2.67,6.3445E-04,NA,NA,NA,24.2195
LUSC,a5,WebPage,YES,"loss:cnaPANCAN144 (BNC2,CDKN2A,JAK2,PSIP1)",256,JW-7-24-1,LCK,10,4,2.3263,NA,2.0362,0.3756,1.6606,0.4613,0.8786,2.7968,3.60,1.89,4.9073E-04,NA,NA,NA,19.8619
PANCAN,a18,WebPage,NO,BCR-ABL_fusion,56,WH-4-023,"SRC family, ABL",5,393,1.6332,NA,-3.4620,2.1742,-5.6362,2.7416,2.0111,2.7904,2.06,2.80,3.2117E-10,6.4697E-11,6.8660E-01,5.3578E-01,0.0003
PANCAN,a72,WebPage,NO,U2AF1_mut,30,Sorafenib,"PDGFRA, PDGFRB, KDR, KIT, FLT3",3,400,1.3863,NA,-1.5330,2.0624,-3.5954,3.5888,1.2724,2.7779,1.00,2.83,3.0407E-06,1.9903E-04,7.3994E-02,1.1515E-02,0.6835
KIRC,a3,WebPage,YES,BAP1_mut,1001,AICAR,AAPK1 (AMPK) agonist,3,21,7.6009,NA,10.6011,8.3011,2.3000,1.1598,0.7893,2.7716,1.98,2.91,1.8202E-04,NA,NA,NA,21.4035
PANCAN,a27,WebPage,NO,U2AF1_mut,277,ABT-869,VEGFR and PDGFR family,5,916,0.0237,NA,-0.3179,2.2985,-2.6164,3.8723,0.9161,2.7565,0.68,2.86,4.2133E-09,2.0814E-27,3.2289E-01,9.5118E-01,0.0026
COAD/READ,a15,WebPage,YES,gain:cnaPANCAN129 (MET),1011,ABT-263,"BCL2, BCL2L1, BCL2L2",3,38,0.6931,NA,-0.8734,2.3210,-3.1943,0.6959,1.1809,2.7514,4.59,2.70,1.0204E-04,NA,NA,1.4821E-01,11.6786
THCA,a2,WebPage,NO,BRAF_mut,1036,PLX4720,BRAF,6,8,2.3026,NA,1.2351,4.0752,-2.8401,1.2718,0.8198,2.7508,2.23,3.46,2.6464E-04,NA,NA,NA,8.7758
PANCAN,a2,WebPage,NO,BRAF_mut,1373,Dabrafenib,BRAF,72,798,2.3026,NA,-0.6589,3.6178,-4.2767,2.9700,1.3640,2.7436,1.44,3.14,8.7996E-45,1.2595E-81,7.1861E-01,8.3005E-02,0.0000
LUAD,a6,WebPage,NO,EGFR_mut,1377,Afatinib (rescreen),"ERBB2, EGFR",4,54,2.3026,NA,-2.0435,2.9731,-5.0166,1.9622,1.8377,2.7197,2.56,2.73,2.4433E-06,NA,NA,NA,0.3510
BRCA,a21,WebPage,YES,"loss:cnaPANCAN385 (PABPC3,SACS,ZMYM2)",88,MS-275,HDAC,5,9,1.6094,NA,2.9897,0.1111,2.8786,1.5197,0.7320,2.7115,1.89,3.93,3.9064E-04,NA,NA,NA,19.2983
OV,a3,WebPage,YES,PIK3CA_mut,326,GSK690693,AKT,6,26,2.3263,NA,1.9726,4.6549,-2.6823,1.7053,0.7800,2.6935,1.57,3.44,6.7336E-06,NA,NA,2.0206E-02,2.1297
DLBC,a1,WebPage,NO,TP53_mut,1047,Nutlin-3a,MDM2,19,13,2.0794,1.3863,3.2950,1.3950,1.9000,0.7908,0.5573,2.6886,2.40,3.41,7.5961E-08,NA,NA,4.1760E-03,0.0141
LGG,a6,WebPage,YES,gain:cnaPANCAN124 (EGFR),1243,piperlongumine,Increases ROS levels,5,12,2.3026,NA,0.4142,1.5905,-1.1763,0.5182,0.4083,2.6716,2.27,2.88,1.5260E-04,NA,NA,NA,2.7627
COAD/READ,a10,WebPage,NO,CNOT1_mut,274,"PXD101, Belinostat",HDAC,3,41,2.9957,NA,2.7903,-0.0325,2.8228,3.0872,0.8436,2.6535,0.91,3.35,2.9491E-05,NA,NA,1.5274E-02,5.4781
LUAD,a3,WebPage,NO,EGFR_mut,282,EKB-569,EGFR,5,56,0.9163,2.9957,-2.7384,1.7372,-4.4756,0.4982,1.7538,2.6354,8.98,2.55,4.9571E-07,NA,NA,NA,0.1424
LGG,a7,WebPage,YES,gain:cnaPANCAN124 (EGFR),1375,Temozolomide,DNA akylating agent,5,12,3.4012,NA,4.7143,6.0895,-1.3752,0.8292,0.3509,2.6289,1.66,3.92,1.7834E-04,NA,NA,NA,2.7674
OV,a5,WebPage,YES,"loss:cnaPANCAN315 (NF1,SUZ12)",1012,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",5,26,2.3026,NA,3.7138,0.9658,2.7480,1.6711,0.9084,2.6241,1.64,3.02,1.6771E-05,NA,NA,3.2410E-01,3.1825
LGG,a11,WebPage,YES,gain:cnaPANCAN124 (EGFR),1239,YK 4-279,RNA helicase A,4,11,2.3026,NA,0.0269,1.3981,-1.3712,0.3275,0.5688,2.6212,4.19,2.41,6.0915E-04,NA,NA,NA,6.0152
LUSC,a9,WebPage,YES,"loss:cnaPANCAN144 (BNC2,CDKN2A,JAK2,PSIP1)",252,WZ3105,"CLK2, CNSK1E, FLT3, ULK1",10,4,0.2469,2.3263,0.6829,-1.7447,2.4275,0.8884,1.0430,2.6119,2.73,2.33,8.4318E-04,NA,NA,NA,19.8619
LGG,a13,WebPage,YES,loss:cnaPANCAN281 (RPL22),238,CAL-101,PI3Kdelta,3,14,2.9957,2.3263,5.4170,4.0919,1.3250,0.3982,0.5249,2.5991,3.33,2.52,9.7487E-04,NA,NA,NA,8.1455
PANCAN,a44,WebPage,NO,BCR-ABL_fusion,38,AZD-0530,"SRC, ABL1",5,403,0.6931,NA,-0.7938,2.2006,-2.9944,1.2490,1.1541,2.5924,2.40,2.59,1.2702E-07,7.5391E-06,6.6065E-01,6.3389E-01,0.0477
LUSC,a10,WebPage,YES,"loss:cnaPANCAN144 (BNC2,CDKN2A,JAK2,PSIP1)",279,BIX02189,MAP2K5 (MEK5),10,4,2.9957,NA,5.2063,3.2443,1.9620,0.6610,1.0016,2.5796,2.97,1.96,9.2782E-04,NA,NA,NA,19.8619
LGG,a8,WebPage,YES,gain:cnaPANCAN124 (EGFR),1017,Olaparib,"PARP1, PARP2",5,10,1.6094,NA,2.2524,4.3707,-2.1183,0.9326,0.7670,2.5785,2.27,2.76,4.0955E-04,NA,NA,NA,5.5607
LUSC,a6,WebPage,YES,"gain:cnaPANCAN176 (CCT5,TERT,TRIO)",286,KIN001-236,TIE2,5,9,2.3263,NA,4.3576,5.2625,-0.9048,0.4592,0.2824,2.5755,1.97,3.20,5.9278E-04,NA,NA,NA,19.8619
LUSC,a11,WebPage,YES,"loss:cnaPANCAN144 (BNC2,CDKN2A,JAK2,PSIP1)",208,SB-715992,KIF11,10,4,-2.0557,NA,-1.4037,-3.7804,2.3768,1.0075,0.6184,2.5675,2.36,3.84,9.6176E-04,NA,NA,NA,19.8619
LUAD,a4,WebPage,NO,EGFR_mut,1019,Bosutinib,"SRC, ABL, TEC",5,48,0.6931,NA,-0.5949,2.2997,-2.8947,1.2319,1.1206,2.5623,2.35,2.58,1.4574E-06,NA,NA,NA,0.2801
LAML,a2,WebPage,YES,NRAS_mut,305,TPCA-1,IKK,7,18,2.9957,NA,2.3821,-0.0249,2.4070,0.8003,0.9845,2.5608,3.01,2.44,6.2563E-06,NA,NA,3.5806E-03,0.3816
PANCAN,a43,WebPage,NO,U2AF1_mut,254,AC220,FLT3,5,915,0.0237,NA,-0.5150,2.1477,-2.6626,4.3024,1.0073,2.5494,0.62,2.64,8.2579E-08,2.8520E-48,4.1422E-02,9.3976E-01,0.0317
BRCA,a9,WebPage,YES,ASH1L_mut,147,NSC-87877,"PTPN6 (SHP-1), PTPN11 (SHP-2)",3,44,2.7726,NA,2.9413,5.1520,-2.2107,1.3419,0.8445,2.5334,1.65,2.62,1.0771E-04,NA,NA,NA,13.8578
GBM,a4,WebPage,YES,loss:cnaPANCAN20 (),207,AS601245,JNK ,3,26,2.0794,NA,4.2551,2.1469,2.1082,1.0449,0.8222,2.5076,2.02,2.56,3.2846E-04,NA,NA,NA,24.9444
PANCAN,a171,WebPage,NO,U2AF1_mut,5,Sunitinib,"PDGFRA, PDGFRB, KDR, KIT, FLT3",3,397,2.0794,NA,-1.6535,2.4330,-4.0865,1.5131,1.6303,2.5075,2.70,2.51,5.5852E-05,1.0149E-11,8.6190E-01,1.7087E-01,5.3927
ESCA,a2,WebPage,YES,NOTCH1_mut,1248,FK866,NAMPT,4,28,0.0000,NA,2.0722,-3.6865,5.7587,0.5469,2.4207,2.5006,10.53,2.38,5.7731E-05,NA,NA,NA,8.3627
PANCAN,a213,WebPage,NO,MYC_mut,238,CAL-101,PI3Kdelta,5,917,2.9957,2.3263,1.2373,4.3768,-3.1395,2.7495,1.2528,2.4855,1.14,2.51,1.0088E-04,3.1483E-51,7.9178E-02,1.7501E-01,7.8194
SKCM,a5,WebPage,NO,ARID2_mut,1042,BIRB 0796,"p38, JNK2",3,40,2.3026,NA,2.3200,4.3485,-2.0284,2.1682,0.6782,2.4840,0.94,2.99,1.6375E-04,NA,NA,NA,15.5461
PANCAN,a28,WebPage,NO,BCR-ABL_fusion,51,Dasatinib,"ABL, SRC, KIT, PDGFR",5,392,0.2469,NA,-5.5096,0.3314,-5.8410,1.8601,2.3712,2.4682,3.14,2.46,4.6339E-09,6.0492E-16,7.9979E-01,4.8134E-01,0.0027
