protein,type,meas,coef,wald,fdr
ERBB2,2.0,19.0,3.25344787521,1.5121803934e-70,1.2826314096844353e-66
STARD3,2.0,18.0,2.61334768229,2.4149332948e-66,1.0241732103260024e-62
MIEN1,2.0,19.0,2.7159206868,2.17416847124e-60,6.1470989910128557e-57
PGAP3,2.0,19.0,2.84930194528,1.65152210415e-58,3.5020526218457216e-55
PSMD3,2.0,15.0,2.29036238258,4.26468517152e-58,7.2346119249658277e-55
GRB7,2.0,19.0,2.99729004566,2.55744308687e-52,3.6153720438096533e-49
ORAOV1,2.0,29.0,1.57451500201,1.9190257458e-46,2.3253109108339566e-43
PPFIA1,2.0,30.0,1.31183491883,1.36792851308e-44,1.4503462059939345e-41
POP4,2.0,33.0,1.32140381288,4.12383142152e-44,3.8864820130325338e-41
C19orf12,2.0,34.0,1.35012437109,5.01142362293e-39,4.2506895169696426e-36
MSL1,2.0,10.0,2.18705999663,1.58302968607e-37,1.220659799746429e-34
FADD,2.0,30.0,1.25292682601,2.10817173273e-37,1.4901260530815175e-34
PTK2,2.0,70.0,0.805278059739,3.00124832145e-37,1.9581990971155345e-34
ORMDL3,2.0,18.0,2.04796756692,8.7036223618e-37,5.2731517766279766e-34
INTS4,2.0,29.0,1.15552056196,9.09969790906e-33,5.1455758443108051e-30
DERL1,2.0,72.0,0.835294474931,1.14151608637e-31,6.0514621528794149e-29
HEATR6,2.0,16.0,1.77904528317,2.00904223003e-31,1.0023938938303067e-28
WIPF2,2.0,9.0,2.06558628156,6.94310773331e-31,3.2717466552184534e-28
TCAP,2.0,18.0,3.66066338595,1.54799094614e-30,6.9105574763788536e-28
URI1,2.0,29.0,1.13039529936,2.97630780417e-30,1.2622521397489937e-27
CTTN,2.0,30.0,1.21362310648,7.68108334377e-30,3.1024261391345513e-27
MED1,2.0,14.0,1.98669874896,9.77417957552e-29,3.7683905072524843e-26
RPL19,2.0,10.0,2.35532069887,1.45848081824e-28,5.37862360881616e-26
ZNF16,2.0,70.0,0.747482278745,1.81685346648e-28,6.4210629594407172e-26
ZNF7,2.0,70.0,0.765989130756,3.69684469807e-28,1.2542654691598931e-25
ATG5,2.0,8.0,2.19184975766,5.78940093899e-28,1.8886807217130689e-25
CASC3,2.0,10.0,1.95355271107,6.75937503825e-28,2.123445150904141e-25
TIMM50,2.0,18.0,1.51727605027,1.34166116032e-27,4.064274986380137e-25
RPS6KB1,2.0,16.0,1.50888244989,1.61862104704e-27,4.7341874900041074e-25
UBE2Q1,2.0,25.0,0.722831152403,4.91304745871e-27,1.3890822848260048e-24
KIAA0196,2.0,78.0,0.83900543219,6.18831892663e-27,1.6932039076027224e-24
PPM1D,2.0,16.0,1.51198163923,7.15159344535e-27,1.8956192376079237e-24
SUPT5H,2.0,18.0,1.43257643311,1.42661579822e-26,3.6668349092538774e-24
MED24,2.0,15.0,1.70779275444,2.16557007065e-26,5.4024603938969568e-24
KCTD21,2.0,25.0,1.394504568,2.25955591497e-26,5.4758723630765913e-24
MED29,2.0,18.0,1.407738628,4.49978722878e-26,1.0601998687354925e-23
MAF1,2.0,70.0,0.808813121321,5.23853343021e-26,1.2008983933795287e-23
ZNF564,2.0,17.0,1.44495755451,6.73604920713e-26,1.5035570888129926e-23
CLNS1A,2.0,25.0,1.20975189254,1.1438282597e-25,2.487679820209204e-23
GAB2,2.0,25.0,1.95387012189,1.5854455011e-25,3.3619371850797997e-23
ALG8,2.0,27.0,1.35873952878,1.90268430586e-25,3.9362361664080598e-23
SAMD4B,2.0,18.0,1.5183759801,4.32279194087e-25,8.7299812482048725e-23
PDSS2,2.0,7.0,2.20635907329,5.46475971723e-25,1.0779556260824708e-22
ZC3H7A,2.0,8.0,1.42893373227,6.24052216767e-25,1.2030024778669626e-22
UBE2Z,2.0,10.0,1.54379907345,6.73225008755e-25,1.2689543387238511e-22
GRINA,2.0,70.0,0.910540137045,1.13441125688e-24,2.0917557132336143e-22
QRSL1,2.0,9.0,2.09512731651,1.30648551755e-24,2.3577893957232878e-22
RSF1,2.0,26.0,1.17534467313,2.01880786685e-24,3.5674017347154074e-22
KRAS,2.0,15.0,1.6800293218,2.23437965558e-24,3.8677567833957523e-22
WHSC1L1,2.0,15.0,1.60925743159,2.49584406016e-24,4.2339498636527498e-22
APPBP2,2.0,16.0,1.54390951419,2.8397966093e-24,4.7229715372693961e-22
LRRC14,2.0,70.0,0.858361955217,3.3575945072e-24,5.476753194249751e-22
ZNF707,2.0,70.0,0.92018312904,3.93342287492e-24,6.2949609103912091e-22
TM2D2,2.0,13.0,1.49166165488,4.60440279279e-24,7.2323230534202241e-22
PHF20L1,2.0,76.0,0.725107256215,5.7288633652e-24,8.8349489206549087e-22
EBAG9,2.0,54.0,0.914155744498,6.64545866671e-24,1.0065496501966047e-21
ZNF490,2.0,17.0,1.26806423711,7.00769713901e-24,1.0248152953974718e-21
RTN4IP1,2.0,8.0,2.3370549364,7.00121846505e-24,1.0248152953974718e-21
USP35,2.0,25.0,1.51362085936,7.33998919468e-24,1.0552167516827133e-21
EID2,2.0,18.0,1.30944463939,7.52628271578e-24,1.0639654999208344e-21
CSTF1,2.0,21.0,0.871985986935,9.09631374711e-24,1.264834970540542e-21
TAF2,2.0,70.0,0.726943786787,3.34592247892e-23,4.5774378171303369e-21
LRRC59,2.0,13.0,1.61038267166,4.39995279099e-23,5.9238729481218751e-21
PAF1,2.0,18.0,1.3325667553,4.99142820632e-23,6.6152021946914922e-21
TMEM11,2.0,6.0,2.01748419681,5.14962171968e-23,6.7198602194379965e-21
ZNF623,2.0,70.0,0.811144026214,5.33320253262e-23,6.8539733154028053e-21
PTRH2,2.0,15.0,1.64675867946,8.97947744524e-23,1.136775040157444e-20
GPAA1,2.0,70.0,0.907548245522,1.0580711571e-22,1.3197881697834901e-20
CLTC,2.0,15.0,1.37412582593,1.76841032291e-22,2.1738632404282369e-20
BRF2,2.0,12.0,1.72913303365,1.83528415346e-22,2.2238400270903923e-20
SAP30BP,2.0,14.0,1.10343404998,2.19807883517e-22,2.6259302366014246e-20
PSMC4,2.0,14.0,1.38829419893,2.33746768164e-22,2.7536667882876843e-20
NSMCE2,2.0,79.0,0.833409638968,2.45750773927e-22,2.855422006098935e-20
USP22,2.0,5.0,2.46778988945,2.50996918689e-22,2.8769673842112995e-20
TXNDC11,2.0,8.0,1.59329809755,3.08667137353e-22,3.4908195453725883e-20
