human	mouse
A0A024QYW1	Q9JJB1
A0A024QZ18	Q4KL35
A0A024QZ33	Q5NCR9
A0A024QZ42	P12815
A0A024QZB8	Q61124
A0A024QZP7	P11440
A0A024QZX5	F8WIV2
A0A024QZX5	I7HJI3
A0A024QZX5	O08804
A0A024QZX5	Q3UWK8
A0A024QZX5	W4VSP4
A0A024R0K5	Q925P2
A0A024R0K5	Q925P3
A0A024R0T9	Q05020
A0A024R0Y4	Q8CHV6
A0A024R161	G3UZK1
A0A024R216	Q9JMG7
A0A024R2X5	Q3ULW8
A0A024R341	Q7TMY4
A0A024R3B9	P23927
A0A024R3M2	Q80TI0
A0A024R3W6	O35375
A0A024R412	O35375
A0A024R4E5	Q8VDJ3
A0A024R4K9	Q8C1E7
A0A024R571	Q9WVK4
A0A024R5I4	Q3V1K7
A0A024R644	Q3UMW8
A0A024R6X1	E9PV38
A0A024R6X1	F6Z9B9
A0A024R6X1	Q08ED5
A0A024R6X1	Q6PDB7
A0A024R6X1	Q8BK48
A0A024R6X1	Q8QZR3
A0A024R6X1	Q91WG0
A0A024R7E8	P60003
A0A024R7N8	P20863
A0A024R7W5	Q8BYK6
A0A024R8F3	B7ZNH2
A0A024RA52	P49722
A0A024RAC6	Q8CB77
A0A024RB15	P62947
A0A024RBT2	Q9JIQ3
A0A024RBT8	A0A0G2JGB6
A0A024RBT8	E9PVD1
A0A024RCL3	Q8HWE5
A0A024RCL3	Q8HWE7
A0A024RCN4	F8WJ31
A0A024RCV8	A0A0R4IZY8
A0A044PY82	A0A087WQ89
A0A067XG54	Q9QZW0
A0A067XG57	Q9QZW0
A0A075B6E2	Q9CZX8
A0A075B6E4	Q80V24
A0A075B6E5	E9QLZ9
A0A075B6E6	Q3UN70
A0A075B6E9	A0A0G2JDT9
A0A075B6F0	Q0GGX2
A0A075B6F3	Q91XQ0
A0A075B6F4	A0A0A6YX06
A0A075B6F5	E9PV66
A0A075B6F6	Q9D8V0
A0A075B6F8	Q7TT79
A0A075B6F9	Q9D6T0
A0A075B6G3	P11531
A0A075B6G4	Q8VHS2
A0A075B6G6	Q059P4
A0A075B6G7	P97318
A0A075B6G8	Q9DCD5
A0A075B6H0	Q99M80
A0A075B6H3	Q91WU4
A0A075B6H4	Q8CID0
A0A075B6H5	A0A0B4J1H5
A0A075B6H6	A0A075B5P2
A0A075B6H7	A0A075B5M9
A0A075B6H9	A0A0B4J1K5
A0A075B6I1	A0A0B4J1K5
A0A075B6K8	A0A0G2JE99
A0A075B6K8	A0A0G2JEK5
A0A075B6K8	P20764
A0A075B6K9	A0A0G2JE99
A0A075B6K9	A0A0G2JEK5
A0A075B6K9	P20764
A0A075B6L0	A0A0G2JE99
A0A075B6L0	A0A0G2JEK5
A0A075B6L0	P20764
A0A075B6L1	A0A0G2JE99
A0A075B6L1	A0A0G2JEK5
A0A075B6L1	P20764
A0A075B6L2	A0A0B4J1J8
A0A075B6L2	A0A0G2JEW2
A0A075B6L2	A2J008
A0A075B6L2	P03978
A0A075B6M9	A0A0A6YWQ1
A0A075B6M9	A0A0B4J1P5
A0A075B6N1	A0A0B4J1H4
A0A075B6N2	A0A0B4J1H5
A0A075B6N7	A0A0A6YXW6
A0A075B6N8	A0A075B5P3
A0A075B6N8	A0A075B5P5
A0A075B6N8	A0A0A6YWR2
A0A075B6N8	F6TQW2
A0A075B6N9	A0A075B6A0
A0A075B6P0	A2AIL4
A0A075B6P1	A0A087WSL9
A0A075B6P1	Q3U595
A0A075B6P4	A3KFM7
A0A075B6P5	A0A075B5K6
A0A075B6P5	A0A0B4J1H6
A0A075B6P5	P01627
A0A075B6P6	A2BDX4
A0A075B6P7	A2RSY1
A0A075B6P9	Q3V0C3
A0A075B6Q0	P62835
A0A075B6Q2	E9PUI5
A0A075B6Q3	A2AQH4
A0A075B6Q4	Q6NSQ7
A0A075B6Q6	Q60662
A0A075B6Q7	Q811T9
A0A075B6Q9	A0A075B5Z0
A0A075B6Q9	A0A075B5Z2
A0A075B6Q9	A0A075B6C7
A0A075B6Q9	L7N479
A0A075B6R0	A0A0A6YYE8
A0A075B6R2	A0A075B5S6
A0A075B6R2	A0A075B5T0
A0A075B6R2	A0A075B5T1
A0A075B6R2	A0A0A6YWB6
A0A075B6R2	A0A0A6YXF1
A0A075B6R2	P18531
A0A075B6R3	A0A0R4J0Y3
A0A075B6R4	Q60662
A0A075B6R5	Q8BMT9
A0A075B6R6	A0A075B5Z0
A0A075B6R6	A0A075B5Z2
A0A075B6R6	A0A075B6C7
A0A075B6R6	L7N479
A0A075B6R8	Q8VBX6
A0A075B6R9	A0A0B4J1H7
A0A075B6R9	A0A0B4J1H8
A0A075B6R9	A0A0B4J1H9
A0A075B6R9	A0A0G2JDE5
A0A075B6R9	A0A140T8M8
A0A075B6S1	A0A075B5J4
A0A075B6S1	A0A0A6YWV4
A0A075B6S4	A0A140T8P3
A0A075B6S5	A0A140T8P3
A0A075B6S6	A0A0B4J1H7
A0A075B6S6	A0A0B4J1H8
A0A075B6S6	A0A0B4J1H9
A0A075B6S6	A0A0G2JDE5
A0A075B6S6	A0A140T8M8
A0A075B6S9	A0A140T8P3
A0A075B6T1	A2AH22
A0A075B6T3	Q9QXW0
A0A075B6T4	Q8R179
A0A075B6T6	A0A075B604
A0A075B6T6	A0A075B620
A0A075B6T6	A0A075B640
A0A075B6T6	A0A075B6C1
A0A075B6T6	A0A0B4J1N1
A0A075B6T6	A0A0G2JEV5
A0A075B6T6	A0A0G2JFX6
A0A075B6T6	Q5R1H9
A0A075B6T6	Q5R1I1
A0A075B6T6	Q5R1I3
A0A075B6T8	A0A075B621
A0A075B6T8	A0A075B6B5
A0A075B6T8	A0A075B6B9
A0A075B6U6	A0A075B655
A0A075B6W1	A0A0G2JFW2
A0A075B6W5	A0A075B607
A0A075B6W5	A0A075B619
A0A075B6W5	A0A075B645
A0A075B6W5	A0A075B694
A0A075B6W5	A0A075B6B1
A0A075B6W5	A0A0G2JDF5
A0A075B6W5	A0A0G2JF94
A0A075B6W9	A0A0G2JGM9
A0A075B6X2	A0A0G2JEU3
A0A075B6X5	A0A075B626
A0A075B6X5	A0A075B648
A0A075B6X5	A0A075B6A4
A0A075B6X5	A0N8N6
A0A075B6X5	A0N8R0
A0A075B6X5	A0N8R1
A0A075B715	Q8C5S7
A0A075B718	Q3UHA3
A0A075B719	A2AUM9
A0A075B720	A2AI52
A0A075B723	Q60722
A0A075B727	Q08481
A0A075B728	Q08481
A0A075B729	P97452
A0A075B731	Q8C784
A0A075B732	Q9D7S0
A0A075B733	Q8C5V8
A0A075B734	O54794
A0A075B737	Q08481
