logoddratios,pvalue
RENAL CELL CARCINOMA,0.477368134436728,2.77671764029937e-15
UBIQUITIN MEDIATED PROTEOLYSIS,0.307297378738317,3.76903737602293e-15
PATHWAYS IN CANCER,0.147371176331433,5.68290484971984e-15
ECM RECEPTOR INTERACTION,0.199553819124539,1.72624160528955e-11
HYPERTROPHIC CARDIOMYOPATHY HCM,0.215935052522408,1.81548959502451e-10
DILATED CARDIOMYOPATHY,0.193332824645502,6.62161646463931e-10
FOCAL ADHESION,0.100390080246488,2.47440898392046e-07
TYPE II DIABETES MELLITUS,0.211261574067801,4.26218073713078e-06
DORSO VENTRAL AXIS FORMATION,0.266209542656267,5.54507424545908e-06
CALCIUM SIGNALING PATHWAY,0.0939018192434436,2.61429683522073e-05
AMYOTROPHIC LATERAL SCLEROSIS ALS,0.203325984923394,4.56253572266115e-05
GLIOMA,0.154493342439837,0.000202666445315963
ABC TRANSPORTERS,0.153063700854419,0.000428275359925845
ALZHEIMERS DISEASE,0.0989901951045301,0.00144815402857133
P53 SIGNALING PATHWAY,0.155724064996302,0.00173053573349016
PROSTATE CANCER,0.109716706248254,0.00173804169385285
LONG TERM DEPRESSION,0.119212548766532,0.00296266151027796
ENDOMETRIAL CANCER,0.125300709325546,0.00307003183794636
SMALL CELL LUNG CANCER,0.0964203541002478,0.00445003644462449
LYSINE DEGRADATION,0.129858085105206,0.00504594965150895
BLADDER CANCER,0.144500621293078,0.00727533261367889
VASCULAR SMOOTH MUSCLE CONTRACTION,0.0779351239348955,0.0099069200319941
CARDIAC MUSCLE CONTRACTION,0.109847876767917,0.0122894612723325
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY ARVC,0.0836335949453019,0.0135223547936289
NON SMALL CELL LUNG CANCER,0.111727417233596,0.0166204734388729
MELANOMA,0.0985419371106871,0.0167660876560378
MTOR SIGNALING PATHWAY,0.112462334635793,0.0177416700236651
VIRAL MYOCARDITIS,0.0939196132640805,0.0188943102278027
INOSITOL PHOSPHATE METABOLISM,0.0980161345235133,0.0220588382774607
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,0.0814963305174064,0.0225300519574947
GNRH SIGNALING PATHWAY,0.0717336682221084,0.0233005992697598
MAPK SIGNALING PATHWAY,0.0419105799491462,0.0247781335827102
LONG TERM POTENTIATION,0.084787456621245,0.0281178386727219
PANCREATIC CANCER,0.0814066917467787,0.0302784038784723
NOTCH SIGNALING PATHWAY,0.0915240311453091,0.0442733633157247
REGULATION OF ACTIN CYTOSKELETON,0.038262641863484,0.0493411473260999
LEISHMANIA INFECTION,0.0770916827444535,0.0500043388691742
ADHERENS JUNCTION,0.0630470641635244,0.0523471776776677
ACUTE MYELOID LEUKEMIA,0.0762655423995349,0.05474770104952
ALDOSTERONE REGULATED SODIUM REABSORPTION,0.0935535553559298,0.0629997283748653
CELL ADHESION MOLECULES CAMS,0.0536009067548913,0.0640926262925581
HUNTINGTONS DISEASE,0.0517325137032989,0.0661670995629972
ERBB SIGNALING PATHWAY,0.0600289220591464,0.0663218019438868
HEMATOPOIETIC CELL LINEAGE,0.0651020035367984,0.0737879993293487
PROGESTERONE MEDIATED OOCYTE MATURATION,0.0584930965590346,0.0742222721085818
COMPLEMENT AND COAGULATION CASCADES,0.0625559859576498,0.0771219766464032
ENDOCYTOSIS,0.0341809808275711,0.105259086867644
FC GAMMA R MEDIATED PHAGOCYTOSIS,0.0470605722151344,0.111306901856644
TIGHT JUNCTION,0.0378678195846005,0.111866470514238
PROXIMAL TUBULE BICARBONATE RECLAMATION,0.102943145440421,0.119286733669936
COLORECTAL CANCER,0.048319940174429,0.162395492100599
AUTOIMMUNE THYROID DISEASE,0.0664056099085741,0.175409743127699
GAP JUNCTION,0.0343486066989966,0.1932433332277
APOPTOSIS,0.0384919909480931,0.197925235311634
CELL CYCLE,0.0309369221189474,0.200938579137022
VASOPRESSIN REGULATED WATER REABSORPTION,0.0566575751670282,0.203983054415255
CHEMOKINE SIGNALING PATHWAY,0.0246851386263543,0.20818979838729
BASAL CELL CARCINOMA,0.0399567064905224,0.231601715983074
RNA DEGRADATION,0.0420277299490675,0.231875258064223
NITROGEN METABOLISM,0.0782440326386431,0.235465816391836
SYSTEMIC LUPUS ERYTHEMATOSUS,0.0437503055523692,0.241029244168534
ADIPOCYTOKINE SIGNALING PATHWAY,0.032174017319275,0.261649229153446
SELENOAMINO ACID METABOLISM,0.0535680736079806,0.271968186372993
HOMOLOGOUS RECOMBINATION,0.0535680736079806,0.271968186372993
B CELL RECEPTOR SIGNALING PATHWAY,0.0290186222870904,0.27279693782248
VIBRIO CHOLERAE INFECTION,0.0351501337904517,0.291579577312707
AXON GUIDANCE,0.0178150375924568,0.29482474406855
RNA POLYMERASE,0.0541332008661621,0.299067511815461
CYSTEINE AND METHIONINE METABOLISM,0.0418136040260304,0.30386519971645
ASTHMA,0.0559676379274908,0.315377834329708
ANTIGEN PROCESSING AND PRESENTATION,0.0259459920477077,0.326061262347288
VEGF SIGNALING PATHWAY,0.0238461707912284,0.327063246945359
CIRCADIAN RHYTHM MAMMAL,0.0691766065610896,0.338882946259516
HEDGEHOG SIGNALING PATHWAY,0.0236973303192132,0.345324386583412
ALLOGRAFT REJECTION,0.0371630419862021,0.354625110915089
TYROSINE METABOLISM,0.0252491109154041,0.37315994189007
FC EPSILON RI SIGNALING PATHWAY,0.0152556308917006,0.388163670515554
INSULIN SIGNALING PATHWAY,0.00798153488341347,0.415964129422065
GRAFT VERSUS HOST DISEASE,0.0225338398680118,0.418485200045317
PHENYLALANINE METABOLISM,0.0313133428999411,0.420055779212882
OTHER GLYCAN DEGRADATION,0.0313133428999411,0.420055779212882
GLYOXYLATE AND DICARBOXYLATE METABOLISM,0.0301385083107749,0.433814313185013
TGF BETA SIGNALING PATHWAY,0.00853844863487827,0.440191346211775
PRION DISEASES,0.0154846653036812,0.443311268522868
PORPHYRIN AND CHLOROPHYLL METABOLISM,0.0121016598674364,0.445892511032824
FOLATE BIOSYNTHESIS,0.0289620354375119,0.448101130419307
ARGININE AND PROLINE METABOLISM,0.00693566517618075,0.468044809958786
OOCYTE MEIOSIS,0.00445234889767706,0.475429581790433
T CELL RECEPTOR SIGNALING PATHWAY,0.00401329985606612,0.477537730243706
O GLYCAN BIOSYNTHESIS,0.00841366293088728,0.478052702417572
BASAL TRANSCRIPTION FACTORS,0.00841366293088728,0.478052702417572
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,0.00841366293088728,0.478052702417572
TRYPTOPHAN METABOLISM,0.00518365218233679,0.497925177433935
TYPE I DIABETES MELLITUS,0.00518365218233679,0.497925177433935
LEUKOCYTE TRANSENDOTHELIAL MIGRATION,0.00147877436862186,0.503064007362773
CHRONIC MYELOID LEUKEMIA,0.00022749085281053,0.518675513937583
GLYCOSAMINOGLYCAN DEGRADATION,0.00240093572699016,0.518869924793502
VALINE LEUCINE AND ISOLEUCINE DEGRADATION,-0.00123276402227113,0.532303094099611
STARCH AND SUCROSE METABOLISM,-0.00210900469443613,0.538006725736464
PATHOGENIC ESCHERICHIA COLI INFECTION,-0.00447968730949416,0.553127674096429
TAURINE AND HYPOTAURINE METABOLISM,-0.00882652545188792,0.569118291111968
NICOTINATE AND NICOTINAMIDE METABOLISM,-0.0108899156189379,0.581116384876262
NATURAL KILLER CELL MEDIATED CYTOTOXICITY,-0.00669293909193488,0.589783832648152
PENTOSE AND GLUCURONATE INTERCONVERSIONS,-0.0125440582965623,0.593023745767547
PROPANOATE METABOLISM,-0.0127073337493613,0.598184933015766
PENTOSE PHOSPHATE PATHWAY,-0.016082469967023,0.603157486062539
ONE CARBON POOL BY FOLATE,-0.0186659803694133,0.605057643425564
MATURITY ONSET DIABETES OF THE YOUNG,-0.0186659803694133,0.605057643425564
PRIMARY IMMUNODEFICIENCY,-0.0186659803694133,0.605057643425564
GLYCINE SERINE AND THREONINE METABOLISM,-0.0160784715843556,0.620485681535739
RENIN ANGIOTENSIN SYSTEM,-0.0219955911678788,0.625905253504156
ASCORBATE AND ALDARATE METABOLISM,-0.022656352896964,0.637603630372028
AMINOACYL TRNA BIOSYNTHESIS,-0.0185671598990156,0.638885847127807
SPLICEOSOME,-0.0126337852794188,0.653480502035073
ARACHIDONIC ACID METABOLISM,-0.0203671940593797,0.653974902893434
JAK STAT SIGNALING PATHWAY,-0.0131614740629272,0.676709632457413
TOLL LIKE RECEPTOR SIGNALING PATHWAY,-0.0176955276420552,0.680623844012716
SULFUR METABOLISM,-0.050219210610113,0.687273520025767
THYROID CANCER,-0.0331328289301985,0.688104982462063
NUCLEOTIDE EXCISION REPAIR,-0.0258535248492911,0.688928328069332
BASE EXCISION REPAIR,-0.0362090329758883,0.710323632175809
MISMATCH REPAIR,-0.0362090329758883,0.710323632175809
GLYCOSPHINGOLIPID BIOSYNTHESIS GLOBO SERIES,-0.0691260916051919,0.722195049854037
ALPHA LINOLENIC ACID METABOLISM,-0.0588632874491469,0.728245997257244
EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION,-0.0312041835853561,0.728666169893597
GLYCOSPHINGOLIPID BIOSYNTHESIS LACTO AND NEOLACTO SERIES,-0.0523221300481247,0.732733791748242
