mouse_uniprot	mouse_entrez	mouse_refseq	human_entrez	human_refseq	human_uniprot
A4FUU0					
A0A0J9YUF7					
Q3TDW7					
F7D0L1					
Q8C734					
A0A0R4J0X7					
Q9DC42					
Q8BK88					
D3YZ83					
X5J5F2					
S4R257					
E9PZT4					
H3BLR1					
Q62281					
Q60787	16822	NP_034826.2	3937	NP_005556.1	Q13094
Q3TYB0					
Q3TIF7					
Q9ESU0					
G3UXZ2					
Q8CEK7					
Q8BUI8					
Q00780	12837	NP_031765.2	1295	NP_001841.2	P27658
A2AU71					
Q9D9H1					
A0A0A6YXZ9					
Q32MS9					
S4R250					
A0A1B0GSW3					
Q3USV8					
F2Z456					
A0A0J9YUZ3					
Q6KAU3					
D3YXR5					
Q8BIT1					
A0A087WP98					
Q7TRN1					
Q3TEK1					
Q1LZJ3					
Q8C3X8	105847	NP_849250.1	91289	NP_149977.2	Q9BU23
Q3UNS0					
Q9JJR7	56787	NP_064435.1	56676	NP_065697.1	Q9NQ33
Q9JLA8					
Q8R2S1	238323	NP_666356.2	83694	NP_113652.2	Q9Y6S9
Q8BUX1					
Q8VI22					
A0A0N4SW54					
Q8C434					
Q91VC5					
Q66JW1					
B7U582					
A4VCJ3					
Q8BY63					
Q9JLF1	57249	NP_065234.1;XP_006528236.1	55879	NP_061028.3	Q9UN88
Q6PGG2	78816	NP_932769.1	51291	NP_057657.2	Q9P107
Q3THS2					
Q3U9Q8					
F7APL9					
A0A0N4SUT8					
D6RDR0					
P55065	18830	NP_035255.1	5360	NP_006218.1	P55058
Q5I0V6					
Q9R062	27357	NP_038783.1	2992	NP_004121.2	P46976
Q91VD6	116746	NP_473415.1			
Q8VCR0					
D7RV94					
Q3THX5					
G5E8J1					
P40936	21743	NP_033375.1	11185	NP_006765.4	O95050
Q8CEN0					
A0A0G2JDS9					
Q9QYE5	16450	NP_034718.2	3714	NP_002217.3	Q9Y219
Q99KG5	54135	NP_001157656.1;NP_001157657.1;NP_059101.1	51599	NP_991403.1	Q86X29
Q8C5H4					
Q9D4J9					
Q922Q1	67247	NP_598445.1	54996	NP_060368.2	Q969Z3
Q8CEP8					
Q3UZT5					
Q8CA15					
Q8VFH5					
P01726					
Q924S9	170765	NP_573492.2	53820	NP_061835.1	P57055
Q6ZPQ6	19679	NP_001276401.1;NP_035386.1;XP_017176233.1	57605	NP_065896.1	Q9BZ72
E9PUC4					
Q3UZ22					
D3Z028					
Q8BHA3	328092	NP_083821.1;XP_017170607.1	112487	NP_542395.1	Q96FN9
Q8CBK6					
A0A087WPH8					
B5X0G0					
A3QQR1					
A0A087WP77					
Q3UPG3					
A2AMR7					
Q8BLB5					
M0QWY7					
Q9D2Q3	68277	NP_080931.1;XP_011240190.1	80007	NP_079218.2	Q9H8K7
Q9Z0F4	23991	NP_001278204.1;NP_001278205.1;NP_036000.1	10519	NP_006375.2	Q99828
Q9D8W7	433904	NP_081226.1	132299	NP_001014446.1	Q56VL3
V9GXK3					
Q9R201					
P17208	18996	NP_035273.3;XP_006518768.1;XP_006518769.1	5457	NP_006228.3	Q01851
Q52L52					
Q3UQY5					
Q60675	16773	NP_032507.2	3908	NP_001073291.1	P24043
A0A0G2JGJ4					
Q9D9G7					
B2RQC7					
A0A0J9YVF5					
A0A0J9YUC3					
Q6UAD6					
X5J4D2					
A2NTK4					
F6QZ47					
Q4FK16					
J3QMV3					
Q8C1E6					
Q9QXZ7	23958	NP_038736.1	10002	NP_055064.1	Q9Y5X4
Q3U224					
Q9DC13					
Q8C0Y2					
F6V459					
Q6S5L9	271849	NP_950187.1	399694	NP_976224.3	Q6S5L8
A0N8T7					
Q925P7					
Q9JJQ7					
F6S692					
Q8C5H5					
Q8QZU1					
Q8BZ25	244859	NP_766510.1	255239	NP_848605.1	Q8NFD2
Q3UQS4					
A2RTJ4					
A0A0G2JGJ7					
Q3U1N3					
S4R1C8					
A0A0R4J0N3					
Q3TB03					
E0CY06					
A0A0J9YUG4					
E7BVC8					
D3Z3L0					
H3BKC9					
Q5R1G0					
E9PX48					
Q8BHP1					
A0A087WNL7					
E0CYJ4					
Q5NCR9	237859	NP_001012309.1	84081	NP_115517.1	Q9H0G5
Q3TEW6	68481	NP_001001880.1;NP_001077366.1	9019	NP_003944.1	O95297
Q3UIA2	70497	NP_001116112.1;NP_001116113.1;NP_001116114.1;NP_001116115.1;NP_001303642.1;NP_653112.2	55114	NP_001006635.1	Q68EM7
Q8BRZ6					
B6ZCE5					
D3Z0V4					
A0A087WSR9					
Q3TVH6					
Q6PD35					
D3YUQ7					
Q3T9Z7					
Q8BMK5	239650	NP_808384.2	387856	NP_001013657.3	Q52MB2
A0A076N9K6					
P01575	15977	NP_034640.1	3456	NP_002167.1	P01574
