9606.ENSP00000300161	P31946
9606.ENSP00000264335	P62258
9606.ENSP00000248975	Q04917
9606.ENSP00000306330	P61981
9606.ENSP00000340989	P31947
9606.ENSP00000238081	P27348
9606.ENSP00000309503	P63104
9606.ENSP00000366005	P30443
9606.ENSP00000366005	P04439
9606.ENSP00000366005	P13746
9606.ENSP00000263776	Q96QU6
9606.ENSP00000368109	Q4AC99
9606.ENSP00000366005	P16188
9606.ENSP00000366005	P30455
9606.ENSP00000399168	P01889
9606.ENSP00000399168	P30460
9606.ENSP00000399168	P30462
9606.ENSP00000399168	P30475
9606.ENSP00000399168	P30480
9606.ENSP00000399168	P30486
9606.ENSP00000399168	Q29836
9606.ENSP00000399168	Q31610
9606.ENSP00000365402	P10321
9606.ENSP00000261461	Q15172
9606.ENSP00000164133	Q15173
9606.ENSP00000417963	Q14738
9606.ENSP00000337641	Q16537
9606.ENSP00000412324	Q13362
9606.ENSP00000324804	P30153
9606.ENSP00000311344	P30154
9606.ENSP00000325074	P63151
9606.ENSP00000336591	Q00005
9606.ENSP00000399970	Q66LE6
9606.ENSP00000335083	Q9Y2T4
9606.ENSP00000353099	P01911
9606.ENSP00000353099	Q29974
9606.ENSP00000358421	P14060
9606.ENSP00000358424	P26439
9606.ENSP00000297679	Q9H2F3
9606.ENSP00000350018	Q9Y3L3
9606.ENSP00000422168	P78314
9606.ENSP00000355428	Q7L8J4
9606.ENSP00000373301	O60239
9606.ENSP00000294973	P46952
9606.ENSP00000265395	P31937
9606.ENSP00000219431	P29372
9606.ENSP00000345259	P11171
9606.ENSP00000340691	Q13541
9606.ENSP00000362314	Q13542
9606.ENSP00000308472	O60516
9606.ENSP00000328103	Q9NRA8
9606.ENSP00000367123	P08195
9606.ENSP00000316244	P08908
9606.ENSP00000358963	P28222
9606.ENSP00000313661	P28221
9606.ENSP00000307766	P28566
9606.ENSP00000322924	P30939
9606.ENSP00000367959	P28223
9606.ENSP00000258400	P41595
9606.ENSP00000276198	P28335
9606.ENSP00000260191	O95264
9606.ENSP00000322617	Q8WXA8
9606.ENSP00000371929	Q70Z44
9606.ENSP00000335511	A5X5Y0
9606.ENSP00000287907	P47898
9606.ENSP00000289753	P50406
9606.ENSP00000337949	P34969
9606.ENSP00000235628	Q9BXI3
9606.ENSP00000352904	Q96P26
9606.ENSP00000242210	Q9H0P0
9606.ENSP00000389948	Q969T7
9606.ENSP00000339479	P49902
9606.ENSP00000257770	P21589
9606.ENSP00000401770	P56378
9606.ENSP00000270776	P52209
9606.ENSP00000252603	O95336
9606.ENSP00000300175	P05408
9606.ENSP00000339503	P36639
9606.ENSP00000472409	P0DKL9
9606.ENSP00000293350	Q8IZ83
9606.ENSP00000375872	Q676U5
9606.ENSP00000326340	Q8NAA4
9606.ENSP00000259396	P02763
9606.ENSP00000394936	P19652
9606.ENSP00000348068	P01009
9606.ENSP00000263100	P04217
9606.ENSP00000282641	Q9NQ94
9606.ENSP00000366697	Q5TYW2
9606.ENSP00000366826	Q5SQ80
9606.ENSP00000254835	Q5VUR7
9606.ENSP00000349891	Q4UJ75
9606.ENSP00000351384	Q96IX9
9606.ENSP00000321853	P08697
9606.ENSP00000302621	P02750
9606.ENSP00000323929	P01023
9606.ENSP00000299698	A8K2U0
9606.ENSP00000386398	A7E2S9
9606.ENSP00000358031	Q5T5F5
9606.ENSP00000249005	Q9NPC4
9606.ENSP00000236709	Q9UNA3
9606.ENSP00000284981	P05067
9606.ENSP00000430000	Q96GX2
9606.ENSP00000308549	P30542
9606.ENSP00000336630	P29274
9606.ENSP00000304501	P29275
9606.ENSP00000253188	Q9NS82
9606.ENSP00000232892	P22760
9606.ENSP00000209873	Q9NRG9
9606.ENSP00000444408	Q15758
9606.ENSP00000324842	Q86V21
9606.ENSP00000376793	P01011
9606.ENSP00000226840	Q8N5Z0
9606.ENSP00000364382	Q7RTV5
9606.ENSP00000261880	Q6PD74
9606.ENSP00000386456	Q2M2I8
9606.ENSP00000229328	Q9Y478
9606.ENSP00000254101	O43741
9606.ENSP00000323867	P54619
9606.ENSP00000287878	Q9UGJ0
9606.ENSP00000233944	Q9UGI9
9606.ENSP00000377078	Q9H7C9
9606.ENSP00000248450	Q13685
9606.ENSP00000346148	Q13131
9606.ENSP00000360290	P54646
9606.ENSP00000313674	Q9Y312
9606.ENSP00000367528	Q4LEZ3
9606.ENSP00000426996	P86434
9606.ENSP00000386621	Q9BTE6
9606.ENSP00000377040	Q9UDR5
9606.ENSP00000303077	Q8NHS2
9606.ENSP00000359539	P17174
9606.ENSP00000225402	Q9NY61
9606.ENSP00000245206	P00505
9606.ENSP00000336693	Q7Z5M8
9606.ENSP00000366240	Q5VST6
9606.ENSP00000258884	Q6PCB6
9606.ENSP00000365411	Q7Z5R6
9606.ENSP00000249116	P31941
9606.ENSP00000327459	Q9UH17
9606.ENSP00000355340	Q9NRW3
9606.ENSP00000216099	Q96AK3
9606.ENSP00000309749	Q8IUX4
9606.ENSP00000385057	Q9HC16
9606.ENSP00000385741	Q6NTF7
9606.ENSP00000363868	O95477
9606.ENSP00000344155	Q9BZC7
9606.ENSP00000301732	Q99758
9606.ENSP00000359245	P78363
9606.ENSP00000376443	Q8WWZ7
9606.ENSP00000284425	Q8N139
9606.ENSP00000263094	Q8IZY2
9606.ENSP00000269080	O94911
9606.ENSP00000342216	Q8IUA7
9606.ENSP00000269081	Q8WWZ4
9606.ENSP00000272895	Q86UK0
9606.ENSP00000411096	Q86UQ4
9606.ENSP00000384881	Q2M3G0
9606.ENSP00000265316	Q9NP58
9606.ENSP00000253577	O75027
9606.ENSP00000351717	Q9NUT2
9606.ENSP00000280560	Q9NP78
9606.ENSP00000355637	Q9NRK6
9606.ENSP00000263817	O95342
9606.ENSP00000374467	Q09428
9606.ENSP00000261200	O60706
9606.ENSP00000349017	Q96J66
9606.ENSP00000218104	P33897
9606.ENSP00000310688	Q9UBJ2
9606.ENSP00000359233	P28288
9606.ENSP00000349396	O14678
9606.ENSP00000296577	P61221
9606.ENSP00000313603	Q8NE71
9606.ENSP00000222388	Q9UG63
9606.ENSP00000411471	Q9NUQ8
9606.ENSP00000354995	P45844
9606.ENSP00000237612	Q9UNQ0
9606.ENSP00000304111	Q9H172
9606.ENSP00000260645	Q9H222
9606.ENSP00000272286	Q9H221
9606.ENSP00000365725	Q8N2K0
9606.ENSP00000229304	P41238
9606.ENSP00000244669	Q9Y235
9606.ENSP00000310622	Q8WW27
9606.ENSP00000302657	Q6UXT9
9606.ENSP00000326491	Q96SE0
9606.ENSP00000268129	P08910
9606.ENSP00000289119	Q8WU67
9606.ENSP00000414558	Q8TB40
9606.ENSP00000390849	Q8WTS1
9606.ENSP00000295962	Q9BV23
9606.ENSP00000247706	Q96I13
9606.ENSP00000273359	Q9NUJ1
9606.ENSP00000222800	Q8NFV4
9606.ENSP00000365063	Q7L211
9606.ENSP00000273596	Q9BUJ0
9606.ENSP00000354841	Q96IU4
9606.ENSP00000379282	O95870
9606.ENSP00000358932	Q9H3Z7
9606.ENSP00000365312	Q8IZP0
9606.ENSP00000225941	Q9P2A4
9606.ENSP00000361423	P00519
9606.ENSP00000427562	P42684
9606.ENSP00000338190	O14639
9606.ENSP00000310309	O94929
9606.ENSP00000356632	Q9P1F3
9606.ENSP00000311436	Q8N0Z2
9606.ENSP00000303909	Q12979
9606.ENSP00000274849	Q9ULW3
9606.ENSP00000232744	Q969K4
9606.ENSP00000410157	Q8N961
9606.ENSP00000344789	Q13085
9606.ENSP00000341044	O00763
9606.ENSP00000281182	Q9UKU7
9606.ENSP00000312618	Q9H845
9606.ENSP00000233710	P28330
9606.ENSP00000409612	P11310
9606.ENSP00000242592	P16219
9606.ENSP00000349297	P49748
9606.ENSP00000158762	Q15027
9606.ENSP00000324287	Q15057
9606.ENSP00000346733	Q96P50
9606.ENSP00000352456	O00400
9606.ENSP00000379568	Q5T8D3
9606.ENSP00000356567	Q9BR61
9606.ENSP00000367453	Q8N6N7
9606.ENSP00000258873	Q96GR2
9606.ENSP00000252669	Q5FVE4
9606.ENSP00000440698	P07108
9606.ENSP00000389813	Q6JQN1
9606.ENSP00000264990	Q709F0
9606.ENSP00000357873	P45954
9606.ENSP00000377496	Q96AP0
9606.ENSP00000252519	Q9BYF1
9606.ENSP00000301452	Q8TDN7
9606.ENSP00000342609	Q5QJU3
9606.ENSP00000434480	Q9NUN7
9606.ENSP00000303211	P22303
9606.ENSP00000290866	P12821
9606.ENSP00000250699	Q9GZZ6
9606.ENSP00000385026	Q15822
9606.ENSP00000315602	P32297
9606.ENSP00000359285	P43681
9606.ENSP00000299565	P30532
9606.ENSP00000276410	Q15825
9606.ENSP00000299847	P36544
9606.ENSP00000312663	Q9UGM1
9606.ENSP00000261007	P02708
9606.ENSP00000357461	P17787
9606.ENSP00000289957	Q05901
9606.ENSP00000261751	P30926
9606.ENSP00000304290	P11230
9606.ENSP00000258385	Q07001
9606.ENSP00000293780	Q04844
9606.ENSP00000374145	P07510
9606.ENSP00000262710	Q9UKV3
9606.ENSP00000371341	Q07912
9606.ENSP00000357103	Q16570
9606.ENSP00000273145	O00590
9606.ENSP00000272928	P25106
9606.ENSP00000249887	Q9NPB9
9606.ENSP00000329647	Q5JWF8
9606.ENSP00000397552	O96019
9606.ENSP00000160382	O94805
9606.ENSP00000334300	Q9Y615
9606.ENSP00000363799	Q9Y614
9606.ENSP00000253792	P53396
9606.ENSP00000306490	P11229
9606.ENSP00000319984	P08172
