gene,TP53_pval,TP53_cor,e3_ligase
UBE3A,0.04994,-0.4211,YES
HECTD3,0.083233333,-0.3788,YES
KBTBD4,0.112365,-0.3563,YES
TRIM32,0.116526667,-0.3427,YES
HIC1,0.179095172,-0.3394,YES
TRIM4,0.1220125,-0.3348,YES
STUB1,0.154213285,-0.3096,YES
KCTD3,0.163790354,-0.3031,YES
FBXO38,0.163790354,-0.303,YES
TRAF5,0.168008025,-0.3005,YES
FBXO2,0.180264706,-0.2925,YES
PCGF2,0.204663394,-0.2776,YES
PCGF6,0.23669042,-0.2724,YES
RNF34,0.268882031,-0.2531,YES
KLHL22,0.259400576,-0.2492,YES
RNF167,0.467453853,-0.2443,YES
VPS11,0.284935614,-0.237,YES
ARIH2,0.284935614,-0.2369,YES
KCTD21,0.289575486,-0.2344,YES
TRIM25,0.292911731,-0.233,YES
CBLC,0.650899059,-0.2255,YES
KLHL9,0.351890391,-0.2193,YES
TRIM23,0.350542537,-0.2105,YES
FBXW5,0.428345786,-0.2101,YES
KCTD1,0.353584936,-0.2093,YES
LGALS3BP,0.360321165,-0.2064,YES
LRSAM1,0.362355349,-0.2054,YES
UBE3B,0.372094099,-0.201,YES
TRIM8,0.621997486,-0.1929,YES
FBXO33,0.658984487,-0.1918,YES
HACE1,0.478262136,-0.1858,YES
VPS41,0.433872366,-0.1809,YES
KCTD16,0.440876563,-0.1789,YES
VPS8,0.443269621,-0.1777,YES
ZBTB7A,0.445858711,-0.1769,YES
FBXO44,0.48265875,-0.175,YES
HECTD1,0.453118723,-0.1748,YES
BTRC,0.478711392,-0.171,YES
BIRC2,0.466225678,-0.1699,YES
OTUD7B,0.46953653,-0.169,YES
FBXL8,0.481146659,-0.1652,YES
VPS18,0.491991319,-0.1612,YES
DTX3,0.504333992,-0.1612,YES
TRAF6,0.493126816,-0.1606,YES
UBR1,0.508518444,-0.1567,YES
FBXO4,0.51947831,-0.1529,YES
TRIM21,0.531703197,-0.149,YES
RNF14,0.538020914,-0.1469,YES
PJA2,0.542445522,-0.1454,YES
KLHL11,0.559392483,-0.1435,YES
NEDD4L,0.579422879,-0.1346,YES
RNF135,0.606474037,-0.1273,YES
WDSUB1,0.624577294,-0.1222,YES
GZF1,0.761680305,-0.1218,YES
TRIM68,0.701603653,-0.1173,YES
ANAPC11,0.671976656,-0.1157,YES
TRIM28,0.671432886,-0.1089,YES
RNF31,0.67736173,-0.1074,YES
KLHL13,0.68183498,-0.1069,YES
CHFR,0.728734687,-0.105,YES
RING1,0.692786922,-0.1027,YES
RNF123,0.693528783,-0.1022,YES
RNF170,0.831637946,-0.0986,YES
TRIM38,0.712751534,-0.097,YES
MAP3K1,0.76250187,-0.0916,YES
RNF11,0.823562337,-0.0912,YES
RNF25,0.74854948,-0.086,YES
FBXO18,0.750346941,-0.085,YES
ANKIB1,0.754946334,-0.0831,YES
IVNS1ABP,0.784309391,-0.0806,YES
ASB13,0.815737517,-0.0802,YES
RNF7,0.778408903,-0.0784,YES
RFFL,0.829670228,-0.0766,YES
ZFPL1,0.787681041,-0.074,YES
RSPRY1,0.869146854,-0.0726,YES
FBXO3,0.806325131,-0.0688,YES
PCGF3,0.869758698,-0.0682,YES
KCTD8,0.807477384,-0.0682,YES
FBXW2,0.812954048,-0.0672,YES
RNF141,0.842609597,-0.0643,YES
FBXL15,0.836117679,-0.0602,YES
